"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
6.036916748E-3,-4.742426053E-2,3.758347034E-1,-3.364443779E-1
1.601191680E-2,4.895328078E-3,3.001636267E-1,-3.029081225E-1
2.598691685E-2,-1.336236596E-1,4.931701720E-2,-1.409417018E-2
3.596191667E-2,-2.280713022E-1,-1.336510479E-1,1.894732565E-1
4.593591671E-2,-3.179931939E-1,-1.627412885E-1,3.350869119E-1
5.591091677E-2,-4.250421226E-1,-1.203108579E-1,3.596145809E-1
6.588591682E-2,-4.952590168E-1,-5.732017010E-2,2.882812619E-1
7.586091687E-2,-4.762191176E-1,-5.046372116E-2,2.153024226E-1
8.583591669E-2,-4.058948755E-1,-5.458097160E-2,1.639998257E-1
9.580991673E-2,-3.165645003E-1,-5.137652159E-2,1.325312108E-1
1.057849168E-1,-2.373855561E-1,-4.400249571E-2,8.822101355E-2
1.157599168E-1,-1.998599321E-1,-2.607098781E-3,3.558238968E-2
1.257349169E-1,-1.930853873E-1,4.426586628E-2,3.661207389E-3
1.357089167E-1,-1.846800894E-1,6.383325905E-2,-1.335862279E-2
1.456839168E-1,-1.714854538E-1,4.216604680E-2,-2.127886377E-2
1.556589168E-1,-1.353407949E-1,7.448194548E-3,-5.842491053E-3
1.656339169E-1,-6.964061409E-2,-5.436178297E-3,1.141985320E-2
1.756089167E-1,-1.126871211E-3,-3.164995834E-2,2.504689805E-2
1.855829167E-1,5.233262479E-2,-3.591953963E-2,2.718115412E-2
1.955579168E-1,7.863640785E-2,-4.121947289E-2,2.305780910E-2
2.055329168E-1,8.373263478E-2,-3.665694594E-2,1.002589613E-2
2.155079169E-1,9.815337509E-2,-1.724309660E-2,-6.856867112E-4
2.254819167E-1,1.287046224E-1,-1.496343128E-2,-6.718384102E-4
2.354569167E-1,1.644751430E-1,-2.238832414E-2,1.027402002E-2
2.454319168E-1,1.867205203E-1,-4.056972265E-2,3.947158530E-2
2.554069168E-1,1.992933005E-1,-7.241982222E-2,8.138119429E-2
2.653819169E-1,1.982560009E-1,-1.173132658E-1,1.272887737E-1
2.753559167E-1,1.890975833E-1,-1.377951205E-1,1.518827081E-1
2.853309168E-1,1.658889204E-1,-1.296546310E-1,1.446684599E-1
2.953059168E-1,1.492078751E-1,-1.036236435E-1,1.144928187E-1
3.052809169E-1,1.426652819E-1,-7.840617001E-2,8.866042644E-2
3.152549167E-1,1.541970074E-1,-6.133113801E-2,5.611062795E-2
3.252299167E-1,1.578729749E-1,-6.617861986E-2,3.749059886E-2
3.352049168E-1,1.563003361E-1,-6.158963591E-2,2.847398818E-2
3.451799168E-1,1.318786144E-1,-4.109688103E-2,1.539546996E-2
3.551549169E-1,8.621860296E-2,-2.564942464E-2,-1.151615288E-3
3.651289167E-1,4.501762986E-2,6.173219532E-3,-4.242213909E-3
3.751038751E-1,1.680546440E-2,2.678914182E-2,-1.472558267E-2
3.850788751E-1,-5.574408919E-3,1.195933111E-2,-1.961407997E-2
3.950538752E-1,-1.942610741E-2,1.335055381E-2,-1.575178653E-2
4.050278752E-1,-1.829692721E-2,1.657963730E-2,6.250715815E-3
4.150028750E-1,-2.125387453E-2,2.925322205E-2,2.850792557E-2
4.249778751E-1,-2.777888626E-2,3.000050411E-2,4.181254655E-2
4.349528751E-1,-2.441761270E-2,1.849656925E-2,3.656740487E-2
4.449278752E-1,-3.143397719E-2,3.202436119E-2,2.100655623E-2
4.549018752E-1,-4.604766518E-2,5.681201071E-2,-4.015029408E-3
4.648768750E-1,-5.975362286E-2,8.130110800E-2,-2.515227348E-2
4.748518751E-1,-6.841439009E-2,9.472436458E-2,-6.021708995E-2
4.848268752E-1,-7.213669270E-2,1.020179614E-1,-7.678568363E-2
4.948008752E-1,-8.769556135E-2,1.009784788E-1,-6.473401189E-2
5.047758750E-1,-9.810053557E-2,8.951357007E-2,-1.939422823E-2
5.147508751E-1,-1.084161252E-1,6.587249786E-2,3.135066852E-2
5.247258751E-1,-1.245570183E-1,3.669011593E-2,7.975122333E-2
