"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.521625000E-3,-5.040152930E-3,6.654635072E-4,-3.711958416E-4
1.549662500E-2,1.046237350E-2,-3.538335674E-3,1.065046759E-3
2.547162500E-2,9.704473428E-3,1.418218017E-5,-1.187152229E-4
3.544762500E-2,-3.407600569E-3,3.593266010E-4,-1.838850789E-3
4.542262500E-2,-1.316703483E-2,2.681529149E-3,1.547774998E-3
5.539762500E-2,-7.799700368E-3,1.196550205E-3,7.224613801E-4
6.537362500E-2,9.101423435E-3,-1.145982184E-3,2.168062143E-3
7.534862500E-2,1.334144268E-2,-1.556908712E-3,-7.845847867E-4
8.532362500E-2,3.253621049E-3,2.522114664E-3,1.457823906E-3
9.529862500E-2,-1.378581673E-2,5.207490176E-4,-1.688348129E-4
1.052746250E-1,-1.356854476E-2,-3.387443721E-4,1.029795967E-4
1.152496250E-1,1.238319674E-4,1.845657825E-4,1.314451452E-3
1.252246250E-1,8.523572236E-3,-3.189520910E-3,1.044652192E-3
1.351996250E-1,6.851373706E-3,-2.548764460E-3,1.304576872E-3
1.451756250E-1,-7.213367615E-3,-2.036022022E-3,-1.068740617E-3
1.551506250E-1,-9.865342639E-3,1.741671935E-3,-1.787261572E-3
1.651256250E-1,-1.409294433E-3,1.907907426E-5,-1.429494005E-3
1.751006250E-1,9.379703552E-3,-6.112903357E-4,7.167472504E-4
1.850766250E-1,9.240651503E-3,2.884604037E-4,-1.444954891E-3
1.950516250E-1,-2.991247457E-3,1.478893682E-3,-1.113391481E-3
2.050266250E-1,-1.207040064E-2,1.188350841E-3,-5.155485123E-4
2.150016250E-1,-7.275112905E-3,-4.819836468E-4,-1.509173773E-3
2.249776250E-1,5.868782755E-3,-1.345761120E-4,1.569418004E-3
2.349526250E-1,1.149870548E-2,3.597065806E-4,8.445053827E-4
2.449276250E-1,2.907423303E-3,8.896254003E-4,-1.411123201E-3
2.549036250E-1,-1.093488932E-2,2.021469176E-3,2.475760411E-3
2.648786250E-1,-9.751325473E-3,1.826955006E-3,-8.159987628E-4
2.748536250E-1,2.204137389E-3,1.230672002E-3,1.741434913E-3
2.848286250E-1,1.132375561E-2,-1.126331277E-3,1.624437748E-3
2.948046250E-1,7.041659206E-3,2.042576671E-5,2.787425183E-4
3.047796250E-1,-7.020896766E-3,3.929808736E-4,3.370922059E-6
3.147546250E-1,-9.228391573E-3,1.513905823E-3,-1.452579629E-3
3.247296250E-1,-3.803551663E-3,-5.889981985E-4,-1.722956076E-4
3.347056250E-1,8.055238053E-3,7.441807538E-4,-1.326243393E-3
3.446806250E-1,1.043713372E-2,-1.568123698E-3,2.492978238E-3
3.546556250E-1,-3.002508078E-3,-2.991277725E-4,1.625586767E-3
3.646306250E-1,-8.053942584E-3,-2.666498534E-3,4.259613343E-4
3.746066250E-1,-3.998214379E-3,-2.028139308E-3,-7.178662345E-4
3.845816250E-1,8.065447211E-3,-4.896810278E-4,-9.265919216E-4
3.945566250E-1,9.829791263E-3,-4.870183766E-4,1.154135680E-3
4.045316250E-1,4.082922358E-3,-6.691925228E-5,1.216970384E-3
4.145076250E-1,-1.105954591E-2,2.879334614E-3,-4.834579304E-4
4.244826250E-1,-7.240074687E-3,-2.159364522E-4,-2.552419901E-4
4.344576250E-1,2.414416755E-3,1.236552373E-3,-2.405211795E-3
4.444336250E-1,9.268438444E-3,-1.781809144E-3,3.765383735E-4
4.544086250E-1,4.057164770E-3,-1.824419945E-3,-1.731379889E-4
4.643836250E-1,-5.282228813E-3,4.928447306E-4,2.949070185E-4
4.743586250E-1,-9.184558876E-3,2.171700820E-3,-1.132014673E-3
4.843346250E-1,-1.710096141E-3,-1.429039054E-3,-4.680920392E-5
4.943096250E-1,8.694874123E-3,-2.564079128E-3,2.956730314E-4
5.042846250E-1,8.354140446E-3,1.107262447E-3,-1.771734096E-4
5.142596250E-1,-3.136334475E-3,-3.294942901E-3,-8.714594878E-4
5.242356250E-1,-8.902575821E-3,-1.240481623E-3,1.232349314E-4
5.342106250E-1,-5.514768884E-3,-5.042180419E-6,-1.667533070E-6
5.441856250E-1,3.849081695E-3,1.168021932E-3,1.005075406E-3
5.541606250E-1,8.377786726E-3,5.323253572E-4,-9.648646228E-4
5.641366250E-1,-4.496947513E-4,-4.306947812E-4,1.561406767E-3
5.741117083E-1,-4.744042177E-3,-3.968728706E-4,4.343572073E-4
5.840867083E-1,-4.708910827E-3,-8.707102388E-4,-1.273738686E-3
5.940617083E-1,1.698122011E-3,1.253958791E-3,-5.930350162E-4
6.040377083E-1,7.731849328E-3,-1.259308308E-3,4.320293665E-4
6.140127083E-1,3.941105679E-3,-2.079828642E-3,-1.071325038E-3
6.239877083E-1,-3.373375628E-3,-5.835173652E-4,1.641277689E-3
6.339637083E-1,-4.771535285E-3,5.371402949E-4,3.291382454E-4
6.439387083E-1,-1.194459153E-3,-1.120114699E-3,-3.085494973E-4
6.539137083E-1,8.023539558E-3,8.114762604E-4,1.114377286E-3
6.638887083E-1,5.621239077E-3,-7.282709703E-4,8.960347623E-5
6.738647083E-1,4.218320828E-5,1.184144989E-3,2.438778058E-3
6.838397083E-1,-7.031780202E-3,-1.555703580E-3,-6.753378548E-4
6.938147083E-1,-2.005063929E-3,5.615092814E-4,1.398199471E-3
7.037897083E-1,6.234557368E-3,-3.488661721E-3,4.631755874E-4
7.137657083E-1,5.418565124E-3,7.966309786E-4,9.276310448E-4
7.237407083E-1,1.869910746E-3,-3.318525851E-3,5.790567957E-4
