"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.338458332E-3,3.844233658E-3,4.119831204E-2,-2.334793210E-3
1.631345833E-2,1.719081402E-3,1.181353909E-1,7.916194439E-2
2.628845833E-2,4.993522167E-3,9.656793594E-2,4.299106836E-2
3.626445833E-2,-8.586636186E-3,7.228912711E-3,-6.220618844E-2
4.623945833E-2,4.994691610E-3,-3.994174540E-2,-1.203134787E-1
5.621445833E-2,1.904907743E-2,9.093589783E-3,-6.584023297E-2
6.618945833E-2,1.265251586E-2,6.999701858E-2,1.466657102E-2
7.616445833E-2,1.532085618E-2,7.227041602E-2,-4.882425070E-4
8.614045833E-2,1.593983877E-2,-2.110552490E-2,-1.005849731E-1
9.611545833E-2,1.759370545E-2,-7.139041007E-2,-1.828944737E-1
1.060904583E-1,6.215571966E-3,-2.941207945E-2,-1.322657722E-1
1.160654583E-1,-3.856256995E-3,6.117415488E-2,-1.022678018E-3
1.260414583E-1,-1.056886056E-2,1.283025295E-1,8.125115454E-2
1.360164583E-1,-5.856169201E-4,8.789008319E-2,4.308286965E-2
1.459914583E-1,7.613330595E-3,7.427133322E-3,-6.167058349E-2
1.559664583E-1,1.917828262E-2,-1.571614623E-2,-1.058930755E-1
1.659424583E-1,3.305120375E-3,2.090613484E-2,-4.968671501E-2
1.759174583E-1,1.005196670E-2,6.237926602E-2,-7.313112617E-3
1.858924583E-1,4.580105748E-3,4.786998510E-2,-2.735502899E-2
1.958674583E-1,1.853854241E-2,-1.898181617E-2,-1.048785836E-1
2.058424583E-1,1.622721115E-2,-4.394591868E-2,-1.307969517E-1
2.158184583E-1,1.161752215E-2,1.103837371E-2,-6.463804543E-2
2.257934583E-1,1.324979067E-3,8.622596562E-2,2.000215530E-2
2.357684583E-1,-1.148959603E-3,9.678077459E-2,6.038361132E-2
2.457434583E-1,6.165888906E-3,3.786422968E-2,-1.189791441E-2
2.557194583E-1,1.051884860E-2,-2.015301347E-2,-9.158610821E-2
2.656944583E-1,1.227156976E-2,-1.379007339E-2,-8.518516123E-2
2.756694583E-1,7.579142656E-3,4.616961479E-2,-2.503602326E-2
2.856444583E-1,1.720338553E-2,6.494560897E-2,-2.341225147E-3
2.956204583E-1,1.249230215E-2,1.712941825E-2,-5.894519627E-2
3.055954583E-1,1.600501696E-2,-3.198894739E-2,-1.342655200E-1
3.155704583E-1,1.916339049E-2,-2.344733477E-2,-9.810399950E-2
3.255454583E-1,5.533512533E-3,4.953293324E-2,-2.058921576E-2
3.355204583E-1,-1.931024697E-3,9.536984146E-2,5.385227144E-2
3.454964583E-1,1.731086466E-3,7.323345244E-2,3.187492669E-2
3.554711667E-1,-1.857952774E-3,3.886059523E-3,-5.440249443E-2
3.654461667E-1,4.684186187E-3,-2.855838597E-2,-1.157181519E-1
3.754211667E-1,1.518929383E-2,6.362940073E-3,-6.947252333E-2
3.853971667E-1,1.169413894E-2,5.755531311E-2,1.026771069E-3
3.953721667E-1,1.195582012E-2,6.478247166E-2,-5.949541926E-3
4.053471667E-1,9.737660587E-3,4.751447439E-3,-6.867671728E-2
4.153221667E-1,1.175873240E-2,-3.893427014E-2,-1.212519568E-1
4.252981667E-1,5.268048942E-3,-9.681234956E-3,-9.428635240E-2
4.352731667E-1,1.325413954E-2,6.742482841E-2,4.528083801E-3
4.452481667E-1,3.787205033E-3,1.042020607E-1,6.186120272E-2
4.552231667E-1,-2.467890456E-4,5.392828524E-2,9.636211395E-4
4.651981667E-1,3.597864881E-5,-1.163712859E-2,-9.835776865E-2
4.751741667E-1,4.569599032E-4,-3.179774344E-2,-1.125787818E-1
4.851491667E-1,4.792122133E-3,2.529388547E-2,-4.610646486E-2
4.951241667E-1,1.730189284E-2,7.615238249E-2,2.344207227E-2
5.050991667E-1,1.022064060E-2,5.476853013E-2,1.239609718E-4
5.150751667E-1,1.253144195E-2,-1.215986967E-2,-8.933785379E-2
5.250501667E-1,6.603571270E-3,-2.728018463E-2,-1.313243705E-1
5.350251667E-1,5.806559231E-3,1.611901939E-2,-6.232839525E-2
5.450001667E-1,3.143444862E-3,8.155988753E-2,3.852788866E-2
5.549751667E-1,6.952156685E-4,9.351042688E-2,4.994282305E-2
5.649511667E-1,-4.377225637E-3,3.507803142E-2,-4.511477709E-2
5.749261667E-1,7.410742845E-3,-2.723808467E-2,-1.184569877E-1
5.849011667E-1,1.321647981E-2,-1.511622190E-2,-8.418177903E-2
5.948761667E-1,1.255570790E-2,5.301202655E-2,-1.814098656E-2
6.048521667E-1,1.862281540E-2,7.788023472E-2,3.068326414E-2
6.148271667E-1,4.784210119E-3,3.574636817E-2,-2.495767057E-2
6.248021667E-1,9.884681515E-3,-2.401334524E-2,-1.102550983E-1
6.347771667E-1,8.494524267E-3,-2.703401685E-2,-1.138107902E-1
6.447531667E-1,8.405098412E-3,3.325428486E-2,-4.777467549E-2
6.547281667E-1,7.657111622E-4,8.414494157E-2,4.622165501E-2
6.647031667E-1,1.136463007E-2,7.438710809E-2,2.717259586E-2
6.746781667E-1,1.114680301E-2,9.621593356E-3,-6.436614990E-2
6.846531667E-1,1.158331593E-2,-3.490027606E-2,-1.216448897E-1
6.946291667E-1,9.529481437E-3,-7.907774448E-3,-9.118323505E-2
