"Time (s)","X (µT)","Y (µT)","Z (µT)"
2.057166671E-2,-3.330276489E0,-1.637185669E1,5.226357269E1
3.054666671E-2,-3.371177673E0,-1.635096741E1,5.225244904E1
4.052166670E-2,-3.486122131E0,-1.633515167E1,5.225807953E1
5.049666669E-2,-3.182289124E0,-1.631098938E1,5.225761032E1
6.047166669E-2,-3.385246277E0,-1.641736603E1,5.238088226E1
7.044666668E-2,-3.561401367E0,-1.657539368E1,5.237495422E1
8.042166667E-2,-3.507484436E0,-1.638821411E1,5.245971298E1
9.039566672E-2,-3.443809509E0,-1.652125549E1,5.271257019E1
1.003706667E-1,-3.504936218E0,-1.657231903E1,5.290574646E1
1.103456667E-1,-3.296302795E0,-1.634110260E1,5.275688934E1
1.203206667E-1,-3.464241028E0,-1.631501770E1,5.247829056E1
1.302956667E-1,-3.420989990E0,-1.641128540E1,5.252047348E1
1.402706667E-1,-3.541053772E0,-1.635677338E1,5.261400986E1
1.502446667E-1,-3.534255981E0,-1.668862152E1,5.300382996E1
1.602196667E-1,-3.670822144E0,-1.669276428E1,5.298095703E1
1.701946667E-1,-3.464332581E0,-1.665010834E1,5.271546555E1
1.801696667E-1,-3.621627808E0,-1.656295776E1,5.291563034E1
1.901446667E-1,-3.655784607E0,-1.639530182E1,5.272225189E1
2.001196667E-1,-3.829826355E0,-1.661941528E1,5.274604797E1
2.100936667E-1,-3.839691162E0,-1.655040741E1,5.282888412E1
2.200686667E-1,-3.841041565E0,-1.671434021E1,5.258393860E1
2.300436667E-1,-3.797470093E0,-1.642686462E1,5.268599701E1
2.400186667E-1,-3.774459839E0,-1.639273071E1,5.236394119E1
2.499936667E-1,-3.546432495E0,-1.661479187E1,5.249155045E1
2.599686667E-1,-3.735015869E0,-1.655352783E1,5.268852234E1
2.699426667E-1,-3.478302002E0,-1.652073669E1,5.312673950E1
2.799176667E-1,-3.590965271E0,-1.645521545E1,5.276659393E1
2.898926667E-1,-3.462097168E0,-1.651256561E1,5.292840195E1
2.998676667E-1,-3.638458252E0,-1.650818634E1,5.282114792E1
3.098426667E-1,-3.865425110E0,-1.628620148E1,5.301465225E1
3.198176667E-1,-3.574310303E0,-1.646860504E1,5.295679855E1
3.297926667E-1,-3.603797913E0,-1.655928802E1,5.312923431E1
3.397666667E-1,-3.698867798E0,-1.659841919E1,5.298551559E1
3.497416667E-1,-3.798553467E0,-1.658595276E1,5.285279465E1
3.597166667E-1,-3.748710632E0,-1.638926697E1,5.280359268E1
3.696916667E-1,-3.917793274E0,-1.652914429E1,5.300051880E1
3.796666667E-1,-3.946189880E0,-1.650299072E1,5.249872589E1
3.896416667E-1,-3.720603943E0,-1.637477112E1,5.234177399E1
3.996156667E-1,-3.791397095E0,-1.630174255E1,5.251702881E1
4.095906667E-1,-3.559707642E0,-1.637583160E1,5.272797394E1
4.195656667E-1,-3.501342773E0,-1.633699799E1,5.277007675E1
4.295406667E-1,-3.727859497E0,-1.634866333E1,5.297149658E1
4.395156667E-1,-3.460113525E0,-1.656217957E1,5.272499847E1
4.494906667E-1,-3.701141357E0,-1.657576752E1,5.277966690E1
4.594646667E-1,-3.698783875E0,-1.653113556E1,5.260001373E1
4.694396667E-1,-3.476966858E0,-1.649298096E1,5.246305084E1
4.794146667E-1,-3.545501709E0,-1.656970978E1,5.268355560E1
4.893896667E-1,-3.369750977E0,-1.642797852E1,5.282481003E1
4.993646667E-1,-3.562240601E0,-1.655272675E1,5.313405609E1
5.093396667E-1,-3.320747375E0,-1.632833099E1,5.279842377E1
5.193147500E-1,-3.180068970E0,-1.633397675E1,5.281941605E1
5.292887500E-1,-3.368606567E0,-1.647377014E1,5.291188812E1
5.392637500E-1,-3.300239563E0,-1.626622772E1,5.320604324E1
5.492387500E-1,-3.508392334E0,-1.648641968E1,5.321775818E1
5.592137500E-1,-3.347854614E0,-1.642355347E1,5.325691986E1
5.691887500E-1,-3.370437622E0,-1.645154572E1,5.296322632E1
5.791637501E-1,-3.424461365E0,-1.642698669E1,5.292446899E1
5.891377500E-1,-3.295364380E0,-1.635723114E1,5.275537491E1
5.991127500E-1,-3.460304260E0,-1.622877502E1,5.301570129E1
6.090877500E-1,-3.476402283E0,-1.625973511E1,5.279862976E1
6.190627500E-1,-3.514633179E0,-1.644694519E1,5.289152908E1
