"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.038749808E-4,-8.478369141E-1,9.788893890E0,-6.116281128E-1
9.771125013E-3,-9.466314697E-1,9.663454742E0,-7.041357422E-1
1.974712501E-2,-9.183403015E-1,9.637109528E0,-7.358697510E-1
2.972212501E-2,-1.018631744E0,9.649234314E0,-6.707551575E-1
3.969812501E-2,-1.072369995E0,9.686207428E0,-5.400769043E-1
4.967412501E-2,-1.008153534E0,9.802066498E0,-3.459306335E-1
5.964912500E-2,-8.765771484E-1,9.767937469E0,-2.856060791E-1
6.962512500E-2,-7.623646545E-1,9.701475677E0,-2.498304749E-1
7.960012500E-2,-7.852670288E-1,9.753267975E0,-1.448986816E-1
8.957612500E-2,-8.686436462E-1,9.865833893E0,-1.546284485E-1
9.955212500E-2,-9.583071899E-1,9.947713623E0,-2.647993469E-1
1.095271250E-1,-9.795629883E-1,9.910590820E0,-3.245251465E-1
1.195031250E-1,-9.023236084E-1,9.834249573E0,-3.004252625E-1
1.294781250E-1,-7.529342651E-1,9.870174866E0,-3.162922668E-1
1.394541250E-1,-5.938151550E-1,9.973310394E0,-3.215313721E-1
1.494291250E-1,-5.234614563E-1,9.974507904E0,-2.944377136E-1
1.594051250E-1,-5.727090454E-1,9.895172882E0,-2.113604736E-1
1.693811250E-1,-7.009922791E-1,9.881102142E0,-1.088237000E-1
1.793561250E-1,-8.761280823E-1,9.944121094E0,-6.122268677E-2
1.893321250E-1,-9.421408081E-1,9.970017242E0,-7.843688965E-2
1.993071250E-1,-8.878038025E-1,9.881850586E0,-1.540296936E-1
2.092831250E-1,-8.252339172E-1,9.862989807E0,-2.273771667E-1
2.192591250E-1,-6.737489319E-1,9.916129303E0,-3.183879089E-1
2.292341250E-1,-4.802014160E-1,9.871522064E0,-3.454815674E-1
2.392101250E-1,-3.408412170E-1,9.916728058E0,-3.135978699E-1
2.491851250E-1,-2.314187622E-1,9.951156464E0,-2.823129272E-1
2.591611250E-1,-2.576142883E-1,9.924960938E0,-2.495310974E-1
2.691361250E-1,-3.308120728E-1,9.880952454E0,-1.947450256E-1
2.791121250E-1,-4.420307922E-1,9.828860779E0,-1.748364258E-1
2.890881250E-1,-6.375242615E-1,9.726922760E0,-1.904040527E-1
2.990631250E-1,-5.854325867E-1,9.696685638E0,-2.975811768E-1
3.090391250E-1,-4.589456177E-1,9.716444550E0,-4.046086121E-1
3.190141250E-1,-4.599934387E-1,9.745334473E0,-4.507127380E-1
3.289901250E-1,-4.969665527E-1,9.829609222E0,-4.224215698E-1
3.389661250E-1,-5.328918457E-1,9.820029144E0,-2.296224976E-1
3.489411250E-1,-5.610333252E-1,9.675280151E0,-1.945953369E-2
3.589171250E-1,-7.069798279E-1,9.556576996E0,-4.640350342E-3
3.688921250E-1,-7.381150818E-1,9.599387970E0,-6.047424316E-2
3.788681250E-1,-5.852828979E-1,9.780960388E0,-1.914518738E-1
