"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.445374975E-3,-2.769241333E-2,9.490264893E-2,-9.884395294E0
8.528625011E-3,-3.248245239E-2,1.011895752E-1,-9.883497162E0
1.850262500E-2,-3.068618774E-2,9.116043091E-2,-9.888137512E0
2.847762499E-2,-2.799179077E-2,8.816665649E-2,-9.894574127E0
3.845162503E-2,-2.739303589E-2,8.786727905E-2,-9.892777863E0
4.842562502E-2,-3.053649902E-2,8.681945801E-2,-9.893825684E0
5.839962501E-2,-2.020797729E-2,8.951385498E-2,-9.895472260E0
6.837462500E-2,-2.784210205E-2,9.565109253E-2,-9.893675995E0
7.834862504E-2,-2.664459229E-2,8.921447754E-2,-9.885592804E0
8.832262503E-2,-2.020797729E-2,8.652008057E-2,-9.882898407E0
9.829662502E-2,-2.469863892E-2,9.400451660E-2,-9.881401520E0
1.082716250E-1,-2.290237427E-2,9.610015869E-2,-9.894723816E0
1.182456250E-1,-3.023712158E-2,9.400451660E-2,-9.883048096E0
1.282196250E-1,-2.484832764E-2,9.041198730E-2,-9.890682220E0
1.381936250E-1,-1.916015625E-2,9.160949707E-2,-9.888586578E0
1.481686250E-1,-2.694396973E-2,8.921447754E-2,-9.882449341E0
1.581426250E-1,-2.469863892E-2,8.202941895E-2,-9.898915100E0
1.681166250E-1,-3.158432007E-2,9.250762939E-2,-9.881102142E0
1.780906250E-1,-2.844085693E-2,9.295669556E-2,-9.892777863E0
1.880646250E-1,-2.589614868E-2,9.639953613E-2,-9.886490936E0
1.980396250E-1,-2.694396973E-2,9.819580078E-2,-9.879156189E0
2.080136250E-1,-2.829116821E-2,9.265731812E-2,-9.888436890E0
2.179876250E-1,-3.353027344E-2,9.145980835E-2,-9.887688446E0
2.279616250E-1,-3.278182983E-2,9.295669556E-2,-9.891580353E0
2.379366250E-1,-2.769241333E-2,8.966354370E-2,-9.892328796E0
2.479106250E-1,-3.173400879E-2,9.145980835E-2,-9.895322571E0
2.578846250E-1,-2.484832764E-2,9.744735718E-2,-9.890233154E0
2.678586250E-1,-2.948867798E-2,9.145980835E-2,-9.882449341E0
2.778336250E-1,-2.409988403E-2,8.637039185E-2,-9.883048096E0
2.878076250E-1,-3.038681030E-2,8.681945801E-2,-9.889484711E0
2.977816250E-1,-3.502716064E-2,8.996292114E-2,-9.884395294E0
3.077556250E-1,-2.185455322E-2,9.939331055E-2,-9.893526306E0
3.177306250E-1,-2.709365845E-2,9.984237671E-2,-9.886940002E0
3.277046250E-1,-2.799179077E-2,9.595046997E-2,-9.885293427E0
3.376786250E-1,-2.305206299E-2,9.714797974E-2,-9.895172882E0
