"Time (s)","X (µT)","Y (µT)","Z (µT)"
1.411316666E-2,7.909568787E0,-2.726370239E1,-1.997241211E1
2.408716668E-2,7.731323242E0,-2.723741913E1,-1.989491272E1
3.406116666E-2,7.642585754E0,-2.722119904E1,-1.988734436E1
4.403516668E-2,7.475223541E0,-2.738001251E1,-1.977186584E1
5.400916666E-2,7.691799164E0,-2.746541595E1,-1.946434021E1
6.398316668E-2,7.489685059E0,-2.732754517E1,-1.969342041E1
7.395716666E-2,7.499404907E0,-2.735845184E1,-1.993327332E1
8.393116668E-2,7.374629974E0,-2.724578094E1,-1.973890686E1
9.390516666E-2,7.498359680E0,-2.721583557E1,-1.962036133E1
1.038791667E-1,7.524536133E0,-2.734500122E1,-1.969325256E1
1.138531667E-1,7.586742401E0,-2.722126770E1,-1.987001038E1
1.238271667E-1,7.496574402E0,-2.724430084E1,-1.964456177E1
1.338011667E-1,7.564888000E0,-2.722097778E1,-1.975469971E1
1.437751667E-1,7.611782074E0,-2.730130768E1,-1.986006165E1
1.537491667E-1,7.506168365E0,-2.733438873E1,-1.943066406E1
1.637231667E-1,7.336894989E0,-2.700656891E1,-1.949325562E1
1.736971667E-1,7.264236450E0,-2.703191376E1,-1.974281311E1
1.836711667E-1,7.510353088E0,-2.699350739E1,-1.923347473E1
1.936451667E-1,7.457965851E0,-2.728181458E1,-1.927281189E1
2.036191667E-1,7.417720795E0,-2.716159821E1,-1.979873657E1
2.135931667E-1,7.544986725E0,-2.726828766E1,-1.999617004E1
2.235671667E-1,7.503017426E0,-2.710697937E1,-1.980978394E1
2.335411667E-1,7.745895386E0,-2.740662384E1,-2.011552429E1
2.435151667E-1,7.613544464E0,-2.733373260E1,-1.987271118E1
2.534901667E-1,7.560245514E0,-2.733072662E1,-2.015846252E1
2.634641667E-1,7.822124481E0,-2.738057709E1,-1.991691589E1
2.734381667E-1,7.614467621E0,-2.734481812E1,-1.970790100E1
2.834121667E-1,7.369270325E0,-2.735079193E1,-1.959056091E1
2.933861667E-1,7.490776062E0,-2.731196594E1,-1.952445984E1
3.033601667E-1,7.648303986E0,-2.728411102E1,-2.016561890E1
3.133341667E-1,7.853168488E0,-2.742169952E1,-1.997036743E1
3.233081667E-1,7.733203888E0,-2.745653534E1,-2.004237366E1
3.332821667E-1,7.947116852E0,-2.718549347E1,-2.004467773E1
3.432561667E-1,7.884700775E0,-2.721112061E1,-2.003021240E1
3.532301667E-1,7.888858795E0,-2.728276062E1,-2.010450745E1
3.632041667E-1,7.625122070E0,-2.744835663E1,-1.995919800E1
3.731781667E-1,7.586563110E0,-2.743585968E1,-2.001037598E1
3.831521667E-1,7.778766632E0,-2.734489441E1,-2.021168518E1
3.931261667E-1,7.671234131E0,-2.734284210E1,-1.968551636E1
4.031001667E-1,7.608146667E0,-2.760761261E1,-1.982479858E1
4.130741667E-1,7.683269501E0,-2.758770752E1,-1.978393555E1
4.230481667E-1,7.765888214E0,-2.741385651E1,-1.952455139E1
4.330221667E-1,8.081493378E0,-2.736941528E1,-1.977111816E1
4.429961667E-1,8.076599121E0,-2.705754852E1,-1.975439453E1
4.529701667E-1,7.952487946E0,-2.726966095E1,-1.960728455E1
4.629441667E-1,8.071113586E0,-2.717250061E1,-1.949020386E1
4.729181667E-1,7.817874908E0,-2.726245880E1,-1.960792542E1
4.828921667E-1,7.904628754E0,-2.726670074E1,-1.948466492E1
4.928661667E-1,7.654048920E0,-2.719163513E1,-1.957626343E1
5.028401667E-1,7.938484192E0,-2.725049591E1,-1.959849548E1
5.128141667E-1,8.145637512E0,-2.734449768E1,-1.958053589E1
5.227881667E-1,8.091548920E0,-2.734142303E1,-1.964863586E1
5.327621667E-1,8.083850861E0,-2.706740570E1,-1.971980286E1
5.427361667E-1,8.064193726E0,-2.717701721E1,-1.986126709E1
5.527101667E-1,7.797050476E0,-2.708197021E1,-1.990283203E1
5.626841667E-1,7.980503082E0,-2.710589600E1,-2.016676331E1
5.726581667E-1,7.819190979E0,-2.714867401E1,-2.007162476E1
5.826321667E-1,7.862930298E0,-2.751489258E1,-2.000132751E1
5.926061667E-1,7.797100067E0,-2.746444702E1,-1.981315613E1
6.025811667E-1,7.772033691E0,-2.745380402E1,-1.985841370E1
6.125551667E-1,7.902538300E0,-2.729850769E1,-1.983891296E1
6.225291667E-1,8.032131195E0,-2.708388519E1,-1.950804138E1
6.325031667E-1,7.941101074E0,-2.698130035E1,-1.920759583E1
6.424771667E-1,7.888469696E0,-2.727497101E1,-1.918862915E1
