"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.723749975E-4,-1.731858482E-2,3.508387864E-2,-3.215091527E-2
1.064537500E-2,-3.341976106E-3,4.564979732E-2,-2.891448140E-2
2.061937499E-2,-1.340388307E-2,3.467048049E-2,-4.602577329E-2
3.059337501E-2,-3.164796336E-3,2.873380244E-2,-4.686835706E-2
4.056637498E-2,-1.135322800E-2,2.739771366E-2,-4.071942508E-2
5.054037500E-2,-1.837770743E-3,2.964304447E-2,-3.293444216E-2
6.051337498E-2,-1.447244346E-2,3.724793315E-2,-4.254667997E-2
7.048737499E-2,-5.272141993E-3,3.628665090E-2,-3.826417923E-2
8.046137498E-2,-5.554261012E-3,4.475283444E-2,-4.910316288E-2
9.043437499E-2,-1.599419047E-2,3.383315921E-2,-3.337766111E-2
1.004083750E-1,-6.294244425E-3,3.402319372E-2,-4.276595056E-2
1.103823750E-1,-9.831197765E-3,3.362207472E-2,-3.807414472E-2
1.203553750E-1,-5.584090948E-3,3.464416802E-2,-4.274197698E-2
1.303293750E-1,-1.104364534E-2,3.340455830E-2,-5.325702488E-2
1.403023750E-1,-7.937905882E-3,4.012944102E-2,-4.159124494E-2
1.502763750E-1,-7.643763525E-3,3.410213113E-2,-4.911719620E-2
1.602503750E-1,-1.054429312E-2,3.847526371E-2,-4.863421619E-2
1.702233750E-1,-1.339247187E-2,3.355073869E-2,-3.978620946E-2
1.801973750E-1,-1.058081995E-2,3.778938532E-2,-4.632222712E-2
1.901703750E-1,-1.049284676E-2,2.527166605E-2,-4.491714120E-2
2.001443750E-1,-5.716512110E-3,3.471901238E-2,-3.292391717E-2
2.101183750E-1,-6.546259420E-3,3.968212903E-2,-3.364897192E-2
2.200913750E-1,-4.432098102E-4,3.404190481E-2,-3.644978821E-2
2.300653750E-1,-1.256771296E-2,3.312447667E-2,-3.901847005E-2
2.400393750E-1,-8.685463266E-3,3.450675845E-2,-4.197540700E-2
2.500123750E-1,-6.273468537E-3,2.952434599E-2,-4.411431849E-2
2.599863750E-1,-4.628665047E-3,3.761455357E-2,-3.392963827E-2
2.699593750E-1,-7.953108642E-3,4.091472208E-2,-3.945876539E-2
2.799333750E-1,-1.674026778E-2,3.800748646E-2,-4.655377686E-2
2.899073750E-1,-5.531484280E-3,4.046507120E-2,-3.376416206E-2
2.998803750E-1,-3.711821632E-3,3.456464589E-2,-4.101529419E-2
3.098543750E-1,-1.906163980E-2,3.362792194E-2,-4.434937656E-2
3.198283750E-1,-9.133350849E-3,4.541941702E-2,-4.034578800E-2
3.298013750E-1,-3.135870891E-3,4.319747508E-2,-4.092056930E-2
3.397753750E-1,-2.602869775E-3,4.037911713E-2,-3.820044458E-2
3.497483750E-1,-8.740125597E-3,3.541775465E-2,-3.657784224E-2
3.597223750E-1,-1.509371926E-2,4.074047506E-2,-4.307702243E-2
3.696963750E-1,-1.388802339E-2,3.156502426E-2,-3.817471683E-2
3.796693750E-1,-7.957484918E-3,2.631656349E-2,-4.327465832E-2
3.896433750E-1,-1.332933107E-2,3.814197242E-2,-3.713800550E-2
3.996173750E-1,-1.037970314E-2,4.275834918E-2,-4.300100863E-2
4.095903750E-1,-1.795268795E-2,3.120483577E-2,-4.303024471E-2
4.195643750E-1,-7.791131632E-3,3.968388319E-2,-4.054283917E-2
4.295373750E-1,-1.834709178E-2,3.933363497E-2,-3.730114281E-2
4.395113750E-1,-1.040688355E-2,4.034169495E-2,-3.838287771E-2
4.494853750E-1,-1.515306850E-2,4.178946555E-2,-3.064116418E-2
4.594583750E-1,-8.946230812E-3,3.720407903E-2,-3.866237462E-2
4.694332500E-1,-1.316384573E-2,3.512714803E-2,-4.163626850E-2
4.794062500E-1,1.066842768E-4,3.473012209E-2,-4.292850316E-2
4.893802500E-1,-1.694171350E-2,4.245487869E-2,-3.519848406E-2
4.993542500E-1,-1.000752786E-2,3.330924869E-2,-3.894830346E-2
5.093272500E-1,-9.951367183E-3,2.914603114E-2,-3.966575682E-2
5.193012500E-1,-2.359927101E-3,3.970961094E-2,-3.569198906E-2
5.292752500E-1,-2.117771974E-2,3.254150927E-2,-3.972773731E-2
5.392482500E-1,-1.094308237E-2,3.724851787E-2,-3.847117066E-2
5.492222500E-1,-1.513024609E-2,4.947796941E-2,-3.462545693E-2
5.591952500E-1,-1.094452590E-2,4.079543889E-2,-3.432783365E-2
5.691692500E-1,-1.645231982E-2,3.294379771E-2,-3.814197242E-2
5.791432500E-1,-5.767392023E-3,4.266420901E-2,-3.889860213E-2
5.891162500E-1,-1.286943843E-2,3.710467637E-2,-3.427345455E-2
5.990902500E-1,-6.801801017E-3,2.795904636E-2,-3.174277961E-2
6.090642500E-1,-1.563661496E-2,3.752216756E-2,-2.622183859E-2
6.190372500E-1,-1.755420933E-2,3.246140242E-2,-4.056155026E-2
6.290112500E-1,-1.491740744E-2,3.459855974E-2,-3.887170494E-2
6.389842500E-1,-3.617690597E-3,3.146445215E-2,-3.167904496E-2
6.489582500E-1,-6.982443435E-3,3.666145742E-2,-2.812920034E-2
