"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.035250000E-3,7.618360687E-4,9.422656149E-4,-2.731692512E-4
1.200925000E-2,1.158114406E-3,1.691412181E-3,1.360413735E-3
2.198325000E-2,1.443865709E-3,7.788483053E-4,4.576449282E-4
3.195725000E-2,-1.290401677E-3,1.751968637E-3,1.499739825E-3
4.193125000E-2,-3.506282228E-4,2.644257620E-3,9.782123379E-4
5.190525000E-2,-3.277250216E-4,1.173393801E-3,-3.858259879E-5
6.187925000E-2,2.264707116E-3,-4.500579089E-4,1.535774325E-3
7.185325000E-2,7.288620691E-4,1.573411748E-3,1.418758184E-4
8.182725000E-2,-1.532644033E-3,3.185478970E-3,-3.503982443E-4
9.180125000E-2,-3.115094500E-3,7.330812514E-5,-6.140512414E-4
1.017742500E-1,-1.044412842E-3,-1.666795462E-3,-1.469527837E-3
1.117482500E-1,-7.129373262E-5,-3.931281157E-3,-2.448772080E-3
1.217222500E-1,-8.774878224E-4,-2.099696547E-3,-2.645289060E-4
1.316962500E-1,4.474348389E-4,7.634684443E-4,5.277614109E-4
1.416702500E-1,8.381939260E-4,7.698684931E-4,-1.505631022E-3
1.516442500E-1,-4.093980417E-3,-2.804826945E-4,-5.484910216E-4
1.616182500E-1,3.966168151E-4,7.672607899E-4,-4.002044443E-4
1.715922500E-1,1.415542327E-3,1.254886389E-3,2.418751596E-3
1.815662500E-1,-7.927188417E-4,4.182215780E-4,6.988900714E-4
1.915402500E-1,-1.156240352E-3,6.227530539E-4,1.706630108E-3
2.015142500E-1,-6.568976096E-4,-1.086996868E-3,7.843775675E-4
2.114882500E-1,-2.893813944E-4,-1.630282030E-3,-3.676417284E-3
2.214622500E-1,-1.933716238E-3,-5.123205483E-4,-7.671830244E-4
2.314362500E-1,-1.738240244E-3,-2.364017069E-3,-3.610639833E-3
2.414102500E-1,-1.386464864E-4,-9.807366878E-4,-9.983424097E-4
2.513842500E-1,-1.369293197E-3,-1.141324639E-3,-2.257595770E-4
2.613582500E-1,2.235685475E-3,-4.882924259E-5,-7.394084241E-4
2.713322500E-1,-8.623697795E-4,7.748864591E-4,-1.168709714E-3
2.813062500E-1,-2.025405178E-3,3.089159727E-4,8.645933121E-6
2.912802500E-1,-2.035258804E-3,1.925988123E-3,5.152286030E-5
3.012542500E-1,7.314267568E-4,-1.864504069E-3,1.203010324E-4
3.112282500E-1,4.419410834E-4,2.203207463E-3,-4.834376741E-4
3.212022500E-1,-6.281170063E-4,-1.510567963E-3,1.015389338E-3
3.311762500E-1,2.912555821E-3,-7.824599743E-4,1.538568176E-4
3.411502500E-1,-1.900668722E-3,-2.351794392E-4,6.670020521E-4
3.511242500E-1,-8.226211066E-4,2.944633365E-3,-5.404751282E-4
3.610982500E-1,-1.069891965E-3,1.635355875E-3,-3.186666872E-4
3.710722500E-1,-9.676265181E-4,-4.147458822E-4,-5.543562584E-4
3.810462500E-1,-1.906211721E-3,-1.721730456E-3,-1.001705648E-3
3.910202500E-1,1.129791955E-3,1.278351992E-4,1.329092775E-3
4.009942500E-1,-6.654065801E-4,1.360094175E-3,-9.096662980E-4
4.109682500E-1,8.150446229E-4,-1.683900133E-3,9.798463434E-4
4.209422500E-1,2.010220196E-4,2.021975815E-4,-4.345928319E-4
4.309162500E-1,6.793257780E-4,-2.611931413E-4,7.614328060E-4
4.408902500E-1,-3.389086924E-4,-4.835929722E-4,2.013465855E-4
4.508642500E-1,-3.026038175E-3,1.617109403E-3,2.641971223E-4
4.608382500E-1,3.621017677E-4,1.452876255E-3,1.030585030E-3
4.708122500E-1,-1.334331813E-3,1.058196649E-3,-4.882158246E-4
4.807862500E-1,7.478277548E-4,-8.167140186E-5,-3.257608041E-4
4.907602500E-1,-6.098517333E-4,-6.497241557E-4,-2.690353431E-4
5.007342500E-1,-1.198256505E-3,-8.804295212E-4,-1.034418121E-3
5.107082500E-1,-1.482149586E-3,-2.689780667E-3,-5.281514022E-4
5.206822500E-1,-9.390230989E-4,2.848368138E-3,1.605497673E-4
