"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.219354174E-2,-3.180917292E-2,1.534302992E-2,-6.213426769E-2
2.216854168E-2,-2.994548257E-2,9.970863992E-3,-9.326952159E-2
3.214454174E-2,-2.106498268E-2,-4.340388179E-3,-8.219197154E-2
4.211954167E-2,-2.185311883E-2,9.024684001E-3,-8.503371835E-2
5.209454172E-2,-2.449553953E-2,1.935174393E-2,-6.138056159E-2
6.206954166E-2,-1.050144400E-2,2.947380412E-3,-8.053954840E-2
7.204454171E-2,-3.353021405E-2,1.673433834E-2,-8.637565434E-2
8.201954165E-2,-4.572494775E-2,3.640699390E-2,-8.113596439E-2
9.199454170E-2,-3.207943762E-2,3.337263616E-2,-9.310989261E-2
1.019705418E-1,-1.314652793E-2,1.577872057E-2,-1.212478638E-1
1.119455417E-1,1.113323450E-2,-1.646533901E-2,-8.547109008E-2
1.219205417E-1,4.063789297E-2,-5.156578171E-2,-4.819801390E-2
1.318955417E-1,5.107654335E-2,-5.210399964E-2,-5.044275999E-2
1.418705417E-1,-4.295514453E-2,-2.005622378E-3,-1.481684446E-2
1.518455417E-1,-1.348124722E-1,7.988997756E-2,-8.472147703E-2
1.618215417E-1,-1.004374314E-1,1.004011238E-1,-1.004387927E-1
1.717965417E-1,-6.760763156E-2,1.109456728E-1,-8.157918334E-2
1.817715417E-1,5.796541306E-3,7.530570567E-2,-7.544428468E-2
1.917465416E-1,6.247849053E-2,2.824322104E-2,-5.598592043E-2
2.017215417E-1,7.794616207E-2,-1.461058393E-2,-8.532549441E-2
2.116965418E-1,4.505410309E-2,-2.062751502E-2,-6.167292237E-2
2.216715417E-1,2.917309507E-3,-1.721047528E-2,-6.661498904E-2
2.316465417E-1,-4.360776232E-2,-1.749388251E-2,-8.382919192E-2
2.416225417E-1,-5.666812604E-2,-6.175098270E-3,-5.089884281E-2
2.515975417E-1,-7.239490233E-2,7.623800766E-3,-8.038869023E-2
2.615725417E-1,-6.085990358E-2,1.712778286E-2,-8.068923712E-2
2.715475417E-1,-3.565878099E-2,2.276901207E-2,-8.203702033E-2
2.815225417E-1,-1.927440536E-2,2.167932861E-2,-7.799367070E-2
2.914975417E-1,-1.286199579E-2,2.802018631E-2,-5.973281622E-2
3.014725418E-1,-2.395769163E-2,3.704645089E-2,-8.652651250E-2
3.114485417E-1,-5.202683466E-2,5.786633017E-2,-6.736694098E-2
3.214235418E-1,-6.726501670E-2,6.354809702E-2,-7.260838509E-2
3.313985417E-1,-6.251638323E-2,5.578598220E-2,-8.383503914E-2
3.413735417E-1,-5.491022004E-2,3.262293175E-2,-6.842060924E-2
3.513485417E-1,-6.658785202E-3,-4.256160865E-3,-8.114473522E-2
3.613235417E-1,4.256048032E-2,-4.327391828E-2,-7.620442271E-2
3.712995417E-1,6.596132515E-2,-5.527959505E-2,-7.351236463E-2
3.812745417E-1,7.334784316E-2,-3.571806399E-2,-7.171668470E-2
3.912495417E-1,5.160357391E-2,-6.026743446E-3,-8.249368787E-2
4.012245417E-1,5.290416826E-4,2.930222489E-2,-7.575769544E-2
4.111995416E-1,-4.929442165E-2,6.030939736E-2,-7.800478041E-2
4.211745417E-1,-8.171051729E-2,7.813006614E-2,-7.546007216E-2
4.311495417E-1,-1.003667989E-1,8.722730130E-2,-8.458991468E-2
4.411255417E-1,-1.031377487E-1,6.552579895E-2,-8.039863050E-2
4.511005417E-1,-8.311159238E-2,3.778288029E-2,-7.620617688E-2
4.610755417E-1,-2.362176909E-2,-1.740992015E-2,-7.321357191E-2
4.710505417E-1,1.778502132E-2,-4.832293418E-2,-7.111909926E-2
4.810255417E-1,2.091368141E-2,-4.311047033E-2,-8.025186539E-2
4.910005417E-1,7.235971625E-3,-1.737666411E-2,-7.920638323E-2
5.009755417E-1,-7.506850743E-3,7.426822688E-3,-8.325148702E-2
5.109515417E-1,-1.255852530E-2,3.497871098E-2,-7.487067282E-2
5.209265416E-1,-2.280315661E-2,5.665414754E-2,-7.232654929E-2
5.309015417E-1,-1.418645751E-2,6.164866556E-2,-7.292647362E-2
5.408765418E-1,2.056657607E-3,4.851663234E-2,-7.307382345E-2
5.508515417E-1,2.659043930E-2,1.443087341E-2,-8.504658222E-2
5.608265417E-1,3.454452781E-2,-1.678330877E-2,-7.217452168E-2
5.708015417E-1,9.709230785E-3,-1.892322524E-2,-6.798382223E-2
5.807765417E-1,-2.476968944E-2,8.863648027E-4,-7.232421041E-2
5.907525417E-1,-6.173239952E-2,1.675740743E-2,-8.878996968E-2
6.007275417E-1,-8.540498000E-2,2.786373675E-2,-8.220483541E-2
6.107025417E-1,-9.232794628E-2,5.224688184E-2,-7.711775780E-2
6.206775417E-1,-8.433491212E-2,5.067974581E-2,-7.846846461E-2
6.306525418E-1,-5.881682705E-2,4.459987493E-2,-7.158395290E-2
6.406275417E-1,-6.128065871E-3,2.236366298E-2,-8.595290065E-2
6.506035418E-1,3.883540652E-2,-1.652309854E-2,-8.220834374E-2
6.605785417E-1,5.017744715E-2,-2.860985974E-2,-6.289732933E-2
6.705535417E-1,4.763887390E-2,-2.092808931E-2,-7.666869164E-2
6.805285417E-1,2.473847307E-2,9.658412542E-4,-8.490098655E-2
6.905035417E-1,-1.281858821E-2,2.381563626E-2,-7.172896385E-2
7.004785417E-1,-3.248399871E-2,3.913572500E-2,-6.873635888E-2
7.104535417E-1,-4.508291433E-2,5.381480358E-2,-8.056176782E-2
7.204295417E-1,-6.128852733E-2,4.927257682E-2,-7.981390893E-2
7.304045417E-1,-5.410024363E-2,3.965569778E-2,-6.873518944E-2
7.403796667E-1,-2.760133153E-2,1.775909029E-2,-7.172896385E-2
7.503546667E-1,-2.065119167E-2,-5.902654566E-3,-6.723947167E-2
7.603296667E-1,-1.978256495E-2,-1.671352590E-2,-7.143075585E-2
7.703046667E-1,-3.169462916E-2,-7.431847639E-3,-7.996301293E-2
7.802796667E-1,-3.904998106E-2,1.987146090E-2,-7.876667261E-2
7.902556667E-1,-3.533547336E-2,2.870202648E-2,-8.550266504E-2
8.002306666E-1,-2.810990224E-2,3.667930970E-2,-6.888838649E-2
8.102056667E-1,-7.585080093E-3,4.216356858E-2,-7.383162260E-2
8.201806667E-1,2.165193578E-2,3.759637238E-2,-6.620100617E-2
8.301556667E-1,3.801033013E-2,3.158225527E-2,-8.566053987E-2
8.401306667E-1,4.141035584E-2,9.761478854E-3,-8.296555817E-2
8.501056667E-1,2.089756273E-2,-6.682627453E-3,-7.802758455E-2
8.600816667E-1,-3.758683868E-3,-3.173210844E-3,-6.335925937E-2
8.700566667E-1,-5.199064131E-2,5.551675446E-3,-7.937712193E-2
8.800316667E-1,-7.867365620E-2,1.163072406E-2,-9.793969274E-2
8.900066667E-1,-9.039817326E-2,1.013890749E-2,-8.611428380E-2
8.999816667E-1,-8.766069875E-2,1.009366466E-2,-7.264288366E-2
9.099566668E-1,-5.763798269E-2,1.298571579E-2,-7.758202672E-2
9.199316667E-1,-1.915665477E-2,1.178261463E-2,-6.919945836E-2
9.299076668E-1,7.696034436E-3,2.480582569E-2,-6.800194860E-2
9.398826667E-1,-1.047131941E-2,3.249736279E-1,-7.593311191E-2
9.498576667E-1,1.037561466E-2,8.182528534E-1,-7.877602816E-2
9.598326667E-1,1.178050757E-2,1.292669546E-2,-6.575310946E-2
9.698076667E-1,2.881055400E-2,-8.902046875E-2,-7.757851839E-2
9.797826667E-1,4.342165641E-2,-8.331185221E-1,-7.533318758E-2
9.897576667E-1,-2.726276860E-3,-1.823778722E-1,-8.685863435E-2
9.997336667E-1,-3.311400650E-2,1.013767592E-1,-5.737054110E-2
1.009708667E0,-3.729050590E-2,-9.355884913E-2,-8.805555940E-2
1.019683667E0,-3.371148231E-4,-3.181916800E-2,-8.925423861E-2
1.029658667E0,-2.284464215E-2,-2.850404341E-2,-5.872358680E-2
1.039633667E0,-2.542301300E-2,1.669582894E-2,-8.701475501E-2
1.049608667E0,-4.480306568E-2,5.018278730E-2,-7.219557166E-2
1.059584667E0,-5.208131427E-2,7.616284353E-2,-8.701124668E-2
1.069559667E0,-5.966424391E-2,8.042802189E-2,-7.877778232E-2
1.079534667E0,-6.465831882E-2,7.930578589E-2,-8.117163241E-2
1.089509667E0,-2.925068031E-2,3.979552846E-2,-8.176863313E-2
1.099484667E0,-6.333836471E-3,-3.299565520E-3,-6.440591097E-2
1.109459667E0,2.137259647E-2,-3.671015376E-2,-9.149956942E-2
1.119434667E0,3.039494616E-2,-5.327412799E-2,-6.755054355E-2
1.129410667E0,2.969077237E-2,-6.065069203E-2,-5.752490759E-2
1.139385667E0,8.736603563E-3,-1.579493746E-2,-6.725467443E-2
1.149360667E0,-2.371662417E-2,2.005054101E-2,-6.635771155E-2
1.159335667E0,-4.781504412E-2,4.755958018E-2,-7.609040201E-2
1.169310667E0,-4.730953862E-2,7.155488128E-2,-8.507347941E-2
1.179285667E0,-4.706919978E-2,7.707412295E-2,-7.624184489E-2
1.189260667E0,-3.556146140E-2,6.181362100E-2,-7.489464641E-2
1.199236667E0,-2.069300840E-2,2.508435415E-2,-6.741137981E-2
1.209211667E0,-1.444628517E-2,-3.011242971E-3,-6.800896525E-2
1.219186667E0,1.990542957E-3,-4.486321891E-3,-6.531690717E-2
1.229161667E0,-1.809877812E-2,-4.047758790E-2,-7.759021282E-2
1.239136667E0,-2.065140866E-2,-1.399385800E-2,-7.235110760E-2
1.249111667E0,-2.638360318E-2,-1.078186367E-2,-8.193235517E-2
1.259086667E0,-3.022287813E-2,3.633861803E-3,-7.939115524E-2
1.269062667E0,-1.917447508E-2,2.121876902E-2,-8.358360887E-2
1.279037667E0,-6.969453937E-3,2.265288088E-2,-8.013959885E-2
1.289012667E0,1.789521621E-2,2.999727610E-2,-6.846387863E-2
1.298987667E0,1.989848828E-2,2.551575076E-2,-7.999458790E-2
1.308962667E0,6.166610671E-3,2.546956689E-2,-7.161201954E-2
1.318937667E0,1.881638565E-3,2.574815017E-2,-7.715167165E-2
1.328912667E0,-2.881554012E-2,3.672838063E-2,-7.520454884E-2
1.338888667E0,-5.285221027E-2,2.569206258E-2,-7.730019093E-2
1.348863667E0,-6.301881894E-2,2.376510353E-2,-7.864680469E-2
1.358838667E0,-6.036831263E-2,1.479302620E-2,-8.134120166E-2
1.368813667E0,-4.213136321E-2,2.948083906E-3,-7.400645435E-2
1.378788667E0,-1.799757104E-2,-7.844606247E-3,-7.280719042E-2
1.388763667E0,-4.983081690E-3,-1.130069442E-2,-8.732699633E-2
1.398738667E0,1.589437325E-2,-6.219701562E-4,-7.265691698E-2
1.408714667E0,1.687883537E-2,7.074537082E-3,-7.385618091E-2
1.418689667E0,3.907262532E-3,2.339354038E-2,-8.418645680E-2
1.428664667E0,-8.734329772E-3,3.646200341E-2,-7.999458790E-2
1.438639667E0,-2.437098471E-2,4.740018873E-2,-8.343976736E-2
1.448614667E0,-1.711245676E-2,3.765257875E-2,-9.496579885E-2
1.458589667E0,-2.130084703E-2,2.334405832E-2,-7.984606862E-2
1.468564667E0,-2.033025948E-2,6.782550886E-3,-7.325742602E-2
1.478540667E0,-1.314407027E-2,-8.991921321E-4,-7.625003099E-2
1.488515667E0,-1.826089445E-2,-1.748886670E-2,-7.954259813E-2
1.498490667E0,-2.989236655E-2,5.563424695E-3,-8.044014573E-2
1.508465667E0,-3.087989960E-2,4.157799734E-3,-7.819598436E-2
1.518440667E0,-4.552944061E-2,1.131778839E-2,-7.640205860E-2
1.528415667E0,-4.230665177E-2,2.659383114E-2,-7.969521046E-2
1.538391667E0,-3.470255567E-2,3.043096592E-2,-7.385851979E-2
1.548366667E0,-1.304404063E-2,1.698353022E-2,-7.685346365E-2
1.558341667E0,-2.187952723E-3,2.037314286E-2,-7.804980397E-2
1.568316667E0,6.615253139E-3,2.736213701E-2,-7.700081348E-2
1.578291667E0,1.962812308E-2,9.914100319E-3,-7.580447316E-2
1.588266667E0,6.919677230E-3,8.428140096E-3,-6.921816945E-2
1.598241667E0,1.674370759E-3,2.250408752E-2,-6.188342214E-2
1.608217667E0,-1.866194607E-2,1.605102723E-2,-7.969521046E-2
1.618192667E0,-5.280593047E-2,2.809958054E-2,-8.074186206E-2
1.628167667E0,-3.353080791E-2,3.287146582E-2,-7.550100267E-2
1.638142667E0,-4.938367392E-2,3.472917192E-3,-8.373505175E-2
1.648117667E0,-4.027628836E-2,1.464325525E-3,-6.726987720E-2
1.658092667E0,-2.464361342E-2,-8.246885547E-3,-7.026365161E-2
1.668067667E0,-1.196620578E-2,-1.245351867E-2,-7.834684253E-2
1.678043667E0,1.663327287E-4,-7.476432659E-3,-7.400586963E-2
1.688018667E0,-9.513683676E-3,-3.091733549E-3,-7.131264210E-2
1.697993667E0,-1.193030821E-2,2.929926474E-2,-7.385851979E-2
1.707968667E0,-9.740193619E-3,5.025391320E-2,-7.700198293E-2
1.717943667E0,-1.518444247E-2,4.963456515E-2,-6.936902761E-2
1.727918667E0,-2.229362658E-2,5.060548618E-2,-8.014778495E-2
1.737892958E0,-1.552133345E-2,3.879432983E-2,-8.433789968E-2
1.747868958E0,1.393976212E-3,1.395576887E-2,-6.323179007E-2
1.757843958E0,4.526908648E-3,-5.411753403E-3,-7.640790582E-2
1.767818958E0,-8.890645718E-4,-1.731398927E-2,-7.790362358E-2
1.777793958E0,-9.005753640E-3,-1.877524501E-2,-8.493840873E-2
1.787768958E0,-2.417767941E-2,-1.555830795E-2,-7.730252981E-2
1.797743958E0,-2.815711166E-2,-3.097343221E-3,-6.607587576E-2
1.807718958E0,-4.806199305E-2,3.456509356E-2,-7.355972707E-2
1.817694958E0,-4.665852882E-2,4.769957531E-2,-8.343976736E-2
1.827669958E0,-2.831420533E-2,3.884279776E-2,-7.071622610E-2
1.837644958E0,-2.186843808E-2,4.062321098E-2,-7.056653738E-2
1.847619958E0,-7.099568190E-3,2.468199262E-2,-6.936785817E-2
1.857594958E0,2.839481011E-3,1.174882868E-2,-8.164116383E-2
1.867569958E0,6.462560868E-3,9.203599663E-3,-7.789719164E-2
1.877544958E0,-3.139774364E-3,3.004628308E-3,-6.666878343E-2
1.887520958E0,-1.534990611E-2,-3.607183881E-4,-7.460345507E-2
1.897495958E0,-1.557996321E-2,3.898009770E-3,-6.517423511E-2
1.907470958E0,-2.588585210E-2,1.234479700E-2,-7.595123827E-2
1.917445958E0,-2.776605170E-2,9.316551425E-3,-8.613007128E-2
1.927420958E0,-1.970275045E-2,1.900041763E-2,-7.595182300E-2
1.937395958E0,-1.989863903E-2,1.763534859E-2,-7.745104909E-2
1.947370958E0,-8.096468209E-3,3.052406455E-2,-7.864855886E-2
1.957346958E0,-6.456278537E-3,3.053609703E-2,-8.912676930E-2
1.967321958E0,-2.198186264E-2,2.703582583E-2,-7.700315237E-2
1.977296958E0,-3.107784841E-2,3.788356204E-2,-7.071622610E-2
1.987271958E0,-3.339393053E-2,2.787413383E-2,-8.523837090E-2
