"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.379166659E-5,-1.276844788E-1,8.049061890E0,-5.682333527E0
9.880208334E-3,-1.350192261E-1,8.038583679E0,-5.686824188E0
1.985320833E-2,-1.086740112E-1,8.033793640E0,-5.705235901E0
2.982720833E-2,-9.145980835E-2,8.023315430E0,-5.713019714E0
3.980120833E-2,-8.861572266E-2,8.028255157E0,-5.714366913E0
4.977520833E-2,-1.136137390E-1,8.033494263E0,-5.680387573E0
5.974920833E-2,-1.260379028E-1,8.044122162E0,-5.691314850E0
6.972220833E-2,-1.142124939E-1,8.033494263E0,-5.695655823E0
7.969620834E-2,-1.089733887E-1,8.030650177E0,-5.714067535E0
8.967020833E-2,-9.145980835E-2,8.023614807E0,-5.710924072E0
9.964420833E-2,-1.010398865E-1,8.018675079E0,-5.710774384E0
1.096182083E-1,-1.107696533E-1,8.032147064E0,-5.700296173E0
1.195922083E-1,-1.107696533E-1,8.045768738E0,-5.676645355E0
1.295652083E-1,-1.140628052E-1,8.042475586E0,-5.689967651E0
1.395392083E-1,-1.113684082E-1,8.033045197E0,-5.702840881E0
1.495132083E-1,-9.624984741E-2,8.021519165E0,-5.714815979E0
1.594872083E-1,-9.849517822E-2,8.015980682E0,-5.717360687E0
1.694612083E-1,-9.699829102E-2,8.034242706E0,-5.715414734E0
1.794342083E-1,-1.061293030E-1,8.040829010E0,-5.693111115E0
1.894082083E-1,-1.190025330E-1,8.047714691E0,-5.681285706E0
1.993822083E-1,-1.164578247E-1,8.042176208E0,-5.698499908E0
2.093562083E-1,-1.160087585E-1,8.026458893E0,-5.703589325E0
2.193302083E-1,-1.022373962E-1,8.026309204E0,-5.713768158E0
2.293032083E-1,-1.002914429E-1,8.020321655E0,-5.710175629E0
2.392772083E-1,-1.070274353E-1,8.027506714E0,-5.707780609E0
2.492512083E-1,-1.116677856E-1,8.034093018E0,-5.692961426E0
2.592252083E-1,-1.234931946E-1,8.047565002E0,-5.683680725E0
2.691992083E-1,-1.073268127E-1,8.028853912E0,-5.686225433E0
2.791722083E-1,-1.017883301E-1,8.033344574E0,-5.701942749E0
2.891462083E-1,-1.002914429E-1,8.019872589E0,-5.704637146E0
2.991202083E-1,-1.164578247E-1,8.026907959E0,-5.708678741E0
3.090942083E-1,-1.172062683E-1,8.036188660E0,-5.698799286E0
3.190682083E-1,-1.179547119E-1,8.044421539E0,-5.686973877E0
3.290412083E-1,-1.076261902E-1,8.040080566E0,-5.692662048E0
3.390152083E-1,-1.085243225E-1,8.037236481E0,-5.704038391E0
3.489892083E-1,-1.131646729E-1,8.026309204E0,-5.717061310E0
3.589632083E-1,-1.070274353E-1,8.034093018E0,-5.710624695E0
3.689372083E-1,-1.068777466E-1,8.033194885E0,-5.701044617E0
3.789102083E-1,-1.178050232E-1,8.037685547E0,-5.695057068E0
3.888842083E-1,-1.212478638E-1,8.042924652E0,-5.695206757E0
3.988582083E-1,-1.130149841E-1,8.036038971E0,-5.699697418E0
4.088322083E-1,-1.031355286E-1,8.041427765E0,-5.703888702E0
4.188062083E-1,-1.026864624E-1,8.028404846E0,-5.720504150E0
4.287792083E-1,-1.058299255E-1,8.030650177E0,-5.705984344E0
4.387532083E-1,-1.113684082E-1,8.027506714E0,-5.705984344E0
4.487272083E-1,-1.160087585E-1,8.035440216E0,-5.692811737E0
4.587012083E-1,-1.067280579E-1,8.034392395E0,-5.707930298E0
4.686752083E-1,-1.074765015E-1,8.028853912E0,-5.695206757E0
4.786482083E-1,-1.011895752E-1,8.029302979E0,-5.705684967E0
4.886222083E-1,-1.067280579E-1,8.028554535E0,-5.703888702E0
4.985962083E-1,-1.056802368E-1,8.024662628E0,-5.709427185E0
5.085702083E-1,-1.062789917E-1,8.035589905E0,-5.696553955E0
5.185442083E-1,-1.119671631E-1,8.035739594E0,-5.699996796E0
5.285182083E-1,-1.149609375E-1,8.031847687E0,-5.701942749E0
5.384912083E-1,-1.188528442E-1,8.028704224E0,-5.704188080E0
5.484652083E-1,-1.074765015E-1,8.023016052E0,-5.699847107E0
5.584392083E-1,-9.879455566E-2,8.029602356E0,-5.709876251E0
5.684132083E-1,-1.065783691E-1,8.030799866E0,-5.694907379E0
5.783872083E-1,-1.116677856E-1,8.041278076E0,-5.696254578E0
5.883602083E-1,-1.119671631E-1,8.040230255E0,-5.695955200E0
5.983342083E-1,-1.106199646E-1,8.039781189E0,-5.691314850E0
6.083082083E-1,-1.059796143E-1,8.039032745E0,-5.693560181E0
6.182822083E-1,-1.023870850E-1,8.034991150E0,-5.706732788E0
6.282562083E-1,-1.044827271E-1,8.026159515E0,-5.697751465E0
6.382292083E-1,-1.097218323E-1,8.026309204E0,-5.701643372E0
6.482032083E-1,-1.065783691E-1,8.029452667E0,-5.699996796E0
6.581772083E-1,-1.073268127E-1,8.032147064E0,-5.690117340E0
6.681512083E-1,-1.076261902E-1,8.033194885E0,-5.686973877E0
6.781252083E-1,-1.077758789E-1,8.032296753E0,-5.697901154E0
6.880982083E-1,-1.032852173E-1,8.030650177E0,-5.699996796E0
6.980722083E-1,-1.041833496E-1,8.024213562E0,-5.698350220E0
7.080462083E-1,-1.055305481E-1,8.033045197E0,-5.699996796E0
7.180202083E-1,-1.190025330E-1,8.034093018E0,-5.697302399E0
7.279942083E-1,-1.167572021E-1,8.036188660E0,-5.698499908E0
7.379672083E-1,-1.161584473E-1,8.035440216E0,-5.704487457E0
7.479412083E-1,-1.115180969E-1,8.037685547E0,-5.696853333E0
7.579152083E-1,-1.092727661E-1,8.035140839E0,-5.705385590E0
7.678892083E-1,-1.131646729E-1,8.032296753E0,-5.705834656E0
7.778632083E-1,-1.079255676E-1,8.029302979E0,-5.703289948E0
7.878362083E-1,-1.154100037E-1,8.033494263E0,-5.694907379E0
7.978102083E-1,-1.127156067E-1,8.034691772E0,-5.696404266E0
8.077842083E-1,-1.125659180E-1,8.028404846E0,-5.683680725E0
8.177582083E-1,-1.094224548E-1,8.029003601E0,-5.709427185E0
8.277322083E-1,-1.049317932E-1,8.031099243E0,-5.707331543E0
