"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.687666617E-3,1.165832393E-2,-4.678834230E-4,-5.320187192E-4
1.866266667E-2,6.116128061E-3,-2.816947177E-3,-1.979572698E-5
2.863766672E-2,-2.351126168E-3,-8.853562176E-4,2.430046210E-3
3.861166677E-2,-8.389570750E-3,2.084735781E-3,4.137994256E-4
4.858666658E-2,-9.163752198E-3,3.688614815E-4,1.283321530E-3
5.856066663E-2,-1.679145964E-3,6.157308817E-4,-4.311564844E-4
6.853566668E-2,2.136897529E-3,9.590126574E-4,2.481276402E-3
7.851066673E-2,6.797359791E-3,-8.213110268E-4,-2.487082966E-4
8.848466678E-2,3.016203642E-3,1.091105863E-3,1.249852357E-3
9.845966659E-2,-3.391592996E-3,-4.409253597E-4,7.454566658E-4
1.084336666E-1,-3.388397396E-3,1.734610647E-3,-2.521635033E-4
1.184086667E-1,-1.558377757E-3,-1.763796434E-3,6.050639786E-5
1.283836667E-1,-9.293390904E-4,-8.868165314E-4,-2.889004536E-4
1.383576668E-1,-8.899741806E-5,-1.874348149E-3,-2.017161809E-3
1.483326666E-1,2.842077520E-3,-1.363022253E-3,-4.535727203E-5
1.583066666E-1,3.933732398E-3,-1.713978127E-3,-1.882313052E-3
1.682816667E-1,7.234187797E-3,9.723529220E-4,8.921681438E-4
1.782556667E-1,1.351670595E-3,1.425901428E-3,8.769447450E-4
1.882306668E-1,-3.780525294E-4,-9.674802423E-4,-1.300456002E-3
1.982056666E-1,-2.415661700E-3,-5.187820643E-4,-6.976092700E-4
2.081796667E-1,-5.185348913E-3,9.590070695E-4,-2.358356258E-3
2.181546667E-1,-4.294984974E-3,-4.029292613E-4,2.749559935E-4
2.281286668E-1,3.361070761E-3,4.841685295E-4,1.142081106E-3
2.381036666E-1,8.775041439E-3,-2.221670002E-4,2.537550637E-3
2.480786666E-1,6.054089870E-3,-1.457074657E-3,5.636157002E-4
2.580526667E-1,2.801274182E-3,-2.343049273E-3,1.668055542E-3
2.680276667E-1,-4.882744513E-3,-8.764471859E-4,-1.494714757E-3
2.780016668E-1,-2.288037213E-3,-8.299890906E-4,-4.485030659E-4
2.879766666E-1,-2.604420763E-3,5.865469575E-4,-2.823220566E-4
2.979516666E-1,3.650822677E-3,-2.456093207E-3,1.307498896E-3
3.079256667E-1,1.634010812E-3,1.741847023E-3,8.630172815E-4
3.179006667E-1,1.416221261E-3,-2.420585603E-3,7.711679209E-4
3.278746668E-1,3.750748001E-3,1.166425645E-3,7.456014864E-4
3.378496666E-1,-1.581002376E-3,9.997561574E-4,-2.146849874E-4
3.478245833E-1,-2.308577998E-3,-2.536654472E-3,2.819720656E-3
3.577985833E-1,-4.676140379E-3,-9.377282113E-4,6.440049037E-4
3.677735834E-1,-9.445190663E-4,-1.337192953E-4,1.505004941E-3
3.777475834E-1,3.098020097E-3,9.586829692E-4,6.309987511E-4
3.877225833E-1,3.058339003E-3,-5.119144917E-4,-2.133362694E-3
