"Time (s)","X (µT)","Y (µT)","Z (µT)"
8.879916742E-3,4.845219421E1,-9.811080933E0,3.187646484E1
1.885491679E-2,4.845766449E1,-9.925201416E0,3.186103058E1
2.882991685E-2,4.858863831E1,-9.887931824E0,3.198042297E1
3.880391666E-2,4.861426544E1,-9.700904846E0,3.202018738E1
4.877891671E-2,4.875798035E1,-9.726379395E0,3.188808441E1
5.875291675E-2,4.872418213E1,-9.860900879E0,3.166375732E1
6.872791681E-2,4.889801788E1,-9.831092834E0,3.165516663E1
7.870291662E-2,4.888358307E1,-9.833404541E0,3.173709106E1
8.867691667E-2,4.896843719E1,-9.706733704E0,3.186033630E1
9.865191672E-2,4.900820160E1,-9.742706299E0,3.147939301E1
1.086259168E-1,4.875187683E1,-9.504280090E0,3.165460968E1
1.186009168E-1,4.883218384E1,-9.574897766E0,3.164411163E1
1.285759166E-1,4.874903870E1,-9.661201477E0,3.125740814E1
1.385499167E-1,4.870434570E1,-9.805343628E0,3.164147949E1
1.485249167E-1,4.876248169E1,-9.652839661E0,3.164371490E1
1.584989168E-1,4.855150604E1,-9.553489685E0,3.157731628E1
1.684739168E-1,4.845977020E1,-9.581352234E0,3.190788269E1
1.784489166E-1,4.866010284E1,-9.359359741E0,3.197188568E1
1.884229167E-1,4.879249573E1,-9.247230530E0,3.154629517E1
1.983979167E-1,4.891184235E1,-9.417243958E0,3.159801483E1
2.083719168E-1,4.878501129E1,-9.473846436E0,3.140505981E1
2.183469168E-1,4.875770569E1,-9.592041016E0,3.180193329E1
2.283219167E-1,4.883747864E1,-9.610237122E0,3.152546692E1
2.382959167E-1,4.889208221E1,-9.901947021E0,3.170561218E1
2.482709168E-1,4.882278442E1,-9.751327515E0,3.198348236E1
2.582449168E-1,4.875519562E1,-9.590476990E0,3.164608765E1
2.682199168E-1,4.860842133E1,-9.583236694E0,3.176738739E1
2.781949167E-1,4.875528717E1,-9.626869202E0,3.203755188E1
2.881689167E-1,4.902365112E1,-9.552703857E0,3.210769653E1
2.981439168E-1,4.882553864E1,-9.659782410E0,3.186025238E1
3.081179168E-1,4.893943787E1,-9.548934937E0,3.213356018E1
3.180929166E-1,4.901763916E1,-9.680267334E0,3.187410736E1
3.280679167E-1,4.889782715E1,-9.657684326E0,3.187252045E1
3.380419167E-1,4.880693054E1,-9.575988770E0,3.188568115E1
3.480169168E-1,4.869590759E1,-9.372612000E0,3.184913635E1
3.579909168E-1,4.854399109E1,-9.539863586E0,3.193731689E1
3.679659166E-1,4.885633850E1,-9.597190857E0,3.177600098E1
3.779409167E-1,4.883811188E1,-9.776222229E0,3.168489838E1
3.879149167E-1,4.859292603E1,-9.680534363E0,3.185999298E1
3.978899168E-1,4.843669891E1,-9.738845825E0,3.151703644E1
4.078639168E-1,4.872361755E1,-9.681297302E0,3.178958130E1
4.178389166E-1,4.863637543E1,-9.805397034E0,3.175990295E1
4.278139167E-1,4.868746948E1,-9.785392761E0,3.131004333E1
4.377879167E-1,4.883218384E1,-9.687850952E0,3.170689392E1
4.477629168E-1,4.881578064E1,-9.710258484E0,3.125525665E1
4.577379168E-1,4.893340302E1,-9.619911194E0,3.162556458E1
4.677119167E-1,4.885597229E1,-9.449645996E0,3.173961639E1
4.776869167E-1,4.879247284E1,-9.641143799E0,3.149884033E1
4.876609168E-1,4.853646851E1,-9.349601746E0,3.157063293E1
4.976359168E-1,4.853667450E1,-9.389221191E0,3.126219177E1
5.076109166E-1,4.847634888E1,-9.526557922E0,3.149562073E1
5.175849167E-1,4.863389587E1,-9.512069702E0,3.154830170E1
5.275599167E-1,4.860027313E1,-9.425819397E0,3.151896667E1
5.375339168E-1,4.869219971E1,-9.586204529E0,3.154085541E1
5.475089168E-1,4.879540253E1,-9.558876038E0,3.112959290E1
5.574839166E-1,4.864383698E1,-9.614807129E0,3.130041504E1
5.674579167E-1,4.878536987E1,-9.600234985E0,3.127335358E1
5.774329167E-1,4.886500549E1,-9.846183777E0,3.172528839E1
5.874069168E-1,4.877207947E1,-9.706825256E0,3.153325653E1
5.973819168E-1,4.882202911E1,-9.794944763E0,3.161737061E1
6.073569166E-1,4.889537048E1,-9.958953857E0,3.168355560E1
6.173309167E-1,4.872473145E1,-9.858093262E0,3.162512970E1
6.273059167E-1,4.883409119E1,-9.647895813E0,3.167613220E1
