X,Y,Z
-81.10954284667969,-54.74861145019531,-289.01129150390625
-80.92764282226562,-54.72935485839844,-288.98382568359375
-81.20120239257812,-54.68768310546875,-288.6665954589844
-81.48686218261719,-54.52104187011719,-288.51776123046875
-81.85671997070312,-54.26513671875,-288.82037353515625
-82.14950561523438,-54.20924377441406,-288.7958679199219
-81.94100952148438,-54.3094482421875,-289.0191650390625
-81.83158874511719,-53.97212219238281,-288.6795654296875
-81.82382202148438,-53.78150939941406,-289.31610107421875
-81.7021484375,-53.776214599609375,-288.86688232421875
-82.13557434082031,-53.73005676269531,-288.9957275390625
-81.78689575195312,-53.46165466308594,-288.97027587890625
-82.600341796875,-53.443511962890625,-289.08026123046875
-82.05506896972656,-53.52885437011719,-289.02099609375
-82.62763977050781,-53.09722900390625,-288.6669921875
-82.798095703125,-53.426727294921875,-288.70849609375
-82.86811828613281,-52.955657958984375,-288.7550964355469
-83.47822570800781,-52.62225341796875,-288.0002746582031
-83.82060241699219,-52.627777099609375,-288.0881042480469
-83.35963439941406,-52.46058654785156,-288.40692138671875
-83.63690185546875,-52.13011169433594,-288.498291015625
-84.07856750488281,-51.626953125,-288.40496826171875
-84.33341979980469,-51.22019958496094,-289.0140075683594
-84.78131103515625,-51.06585693359375,-288.17596435546875
-84.80178833007812,-50.823333740234375,-288.3887939453125
-85.19319152832031,-50.69795227050781,-288.13641357421875
-85.79066467285156,-50.59014892578125,-288.053955078125
-85.76885986328125,-50.30894470214844,-287.7608642578125
-86.00209045410156,-50.201171875,-287.77783203125
-86.44635009765625,-50.313690185546875,-287.205810546875
-86.39682006835938,-50.81109619140625,-287.57830810546875
-86.32781982421875,-50.70849609375,-287.0684509277344
-86.736572265625,-50.79783630371094,-286.9019470214844
-86.7403564453125,-51.643951416015625,-286.313720703125
-86.71046447753906,-51.59797668457031,-286.16644287109375
-86.32077026367188,-51.851226806640625,-286.1846923828125
-86.37828063964844,-52.260101318359375,-285.61767578125
-86.31208801269531,-52.51344299316406,-285.5697021484375
-86.37702941894531,-52.6861572265625,-285.46075439453125
-86.55839538574219,-52.735076904296875,-285.18475341796875
-86.20925903320312,-52.859130859375,-285.29449462890625
-86.24942016601562,-53.08888244628906,-285.2171325683594
-86.45195007324219,-53.487518310546875,-284.909423828125
-86.28684997558594,-53.50157165527344,-284.5996398925781
-86.26771545410156,-53.58723449707031,-284.80767822265625
-86.16864013671875,-53.48835754394531,-284.62652587890625
-86.14067077636719,-53.9246826171875,-285.059326171875
-86.11349487304688,-53.86747741699219,-284.99951171875
-85.87580871582031,-53.81732177734375,-284.84405517578125
-86.15730285644531,-54.06640625,-285.3362121582031
-86.15580749511719,-53.89155578613281,-285.0892639160156
-86.12467956542969,-54.18803405761719,-285.08551025390625
-86.37605285644531,-53.669097900390625,-285.2271423339844
-86.37010192871094,-53.28590393066406,-284.8238830566406
-86.572509765625,-53.52606201171875,-285.123291015625
-86.5863037109375,-53.19757080078125,-284.6693115234375
-86.98435974121094,-53.06370544433594,-284.90057373046875
-86.94387817382812,-52.99778747558594,-284.774169921875
-86.90034484863281,-52.9483642578125,-284.56805419921875
-86.97593688964844,-53.38493347167969,-284.3771057128906
-87.11074829101562,-53.1224365234375,-284.641845703125
-86.65119934082031,-52.97724914550781,-284.4882507324219
-87.15719604492188,-52.81364440917969,-284.0690002441406
-87.26066589355469,-52.82643127441406,-283.9997253417969
-87.36468505859375,-52.89271545410156,-283.66290283203125
-87.5360107421875,-53.018829345703125,-283.99407958984375
-87.59524536132812,-53.13328552246094,-283.8271179199219
-87.64303588867188,-53.274322509765625,-283.38861083984375
-87.60511779785156,-53.28253173828125,-283.634033203125
-87.81358337402344,-53.304412841796875,-283.7200012207031
