X,Y,Z
-102.92927551269531,69.6375732421875,-187.37620544433594
-102.56045532226562,70.78790283203125,-186.84246826171875
-102.40155029296875,72.08782958984375,-186.37942504882812
-102.17823791503906,73.381591796875,-186.1047821044922
-102.00787353515625,74.48469543457031,-185.75088500976562
-101.83378601074219,75.44818115234375,-185.44683837890625
-102.05271911621094,76.42483520507812,-185.3363800048828
-102.37112426757812,77.16337585449219,-185.0633087158203
-102.96055603027344,77.75160217285156,-184.7978057861328
-103.62051391601562,78.41793823242188,-184.54669189453125
-104.3477783203125,79.05987548828125,-184.40261840820312
-105.01295471191406,79.61111450195312,-184.11993408203125
-105.62174987792969,80.25746154785156,-183.79502868652344
-106.73431396484375,80.70915222167969,-183.48239135742188
-108.12959289550781,81.01478576660156,-183.41050720214844
-109.33905029296875,81.33329772949219,-183.61260986328125
-110.94844055175781,81.12278747558594,-183.3901824951172
-112.90147399902344,80.84762573242188,-183.31182861328125
-114.62351989746094,80.54953002929688,-183.0986328125
-116.37071228027344,79.66070556640625,-183.09686279296875
-118.03376770019531,78.92202758789062,-183.41282653808594
-119.34455871582031,77.81442260742188,-183.47247314453125
-120.44082641601562,76.44004821777344,-183.73081970214844
-121.47549438476562,74.97157287597656,-183.75904846191406
-122.22370910644531,73.37553405761719,-183.96047973632812
-123.11495971679688,71.58660888671875,-184.08908081054688
-123.88668823242188,70.00129699707031,-184.6039581298828
-125.04927062988281,68.34288024902344,-184.62681579589844
-126.35429382324219,66.36550903320312,-184.64102172851562
-127.81257629394531,64.35087585449219,-184.2259063720703
-129.59674072265625,62.25801086425781,-183.55813598632812
-131.94740295410156,59.66935729980469,-182.51150512695312
-134.85244750976562,56.59820556640625,-180.96994018554688
-138.43313598632812,52.580841064453125,-178.49684143066406
-142.01206970214844,47.50361633300781,-174.40504455566406
-145.36508178710938,41.32914733886719,-168.04684448242188
-148.070556640625,34.34185791015625,-159.13397216796875
-149.0152587890625,28.143966674804688,-148.0442352294922
-147.4285888671875,23.473495483398438,-135.84454345703125
-143.89590454101562,20.64581298828125,-124.29006958007812
-138.74502563476562,19.734344482421875,-114.75221252441406
-133.2000274658203,19.786712646484375,-106.94419860839844
-127.91419982910156,20.946990966796875,-100.87370300292969
-123.17726135253906,23.070968627929688,-95.60276794433594
-119.08897399902344,26.19329833984375,-91.45689392089844
-115.74452209472656,30.348114013671875,-87.81741333007812
-112.75784301757812,35.54389953613281,-84.63841247558594
-110.260009765625,41.28016662597656,-82.22370910644531
-107.92672729492188,47.58174133300781,-80.59263610839844
-105.80252075195312,54.424713134765625,-79.60311889648438
-103.63385009765625,60.92881774902344,-79.59684753417969
-102.1842041015625,66.93228149414062,-80.32843017578125
-101.04325866699219,72.19639587402344,-81.65280151367188
-100.51036071777344,76.99310302734375,-83.0020751953125
-100.71018981933594,81.34970092773438,-84.75477600097656
-101.43365478515625,84.96138000488281,-86.67523193359375
-103.11991882324219,88.46685791015625,-88.93806457519531
-104.99893188476562,91.62762451171875,-91.291748046875
-107.29832458496094,94.33201599121094,-93.66873168945312
-109.9501953125,96.77252197265625,-96.29718017578125
-112.69227600097656,98.81472778320312,-99.68746948242188
-115.62382507324219,100.55929565429688,-102.75294494628906
-118.28642272949219,102.103515625,-105.99617004394531
-120.89463806152344,103.2235107421875,-109.50141906738281
-123.29550170898438,104.18128967285156,-113.70089721679688
-125.82061767578125,104.80583190917969,-118.55380249023438
-128.395263671875,105.07728576660156,-123.39384460449219
-130.69281005859375,104.74655151367188,-128.7565460205078
-133.43374633789062,103.61845397949219,-134.18630981445312
-135.88504028320312,101.56687927246094,-139.91094970703125
-138.29415893554688,98.60165405273438,-145.5711669921875
-140.17214965820312,94.97659301757812,-151.27154541015625
-141.69772338867188,90.56387329101562,-156.46554565429688
-142.98165893554688,85.4227294921875,-160.68264770507812
-143.87344360351562,79.91885375976562,-163.96812438964844
-144.51089477539062,73.98016357421875,-166.21954345703125
-145.0286102294922,67.86636352539062,-167.85153198242188
-145.1039581298828,61.73164367675781,-168.49252319335938
-144.42892456054688,55.47956848144531,-168.52012634277344
-142.9967803955078,49.569000244140625,-168.42764282226562
-140.5557861328125,43.79307556152344,-167.79388427734375
-137.70567321777344,38.74896240234375,-167.36180114746094
-134.3719940185547,34.10176086425781,-166.94664001464844
-130.80609130859375,30.171798706054688,-166.23558044433594
-127.26371765136719,26.738723754882812,-165.77537536621094
-123.74801635742188,23.812728881835938,-165.3874969482422
-119.75459289550781,21.650909423828125,-165.74093627929688
-115.61502075195312,20.383575439453125,-166.62611389160156
-110.70916748046875,19.7147216796875,-167.75917053222656
-105.53509521484375,20.15087890625,-168.95118713378906
-100.07461547851562,21.638763427734375,-170.3111572265625
-94.25117492675781,23.665542602539062,-171.30380249023438
-89.05564880371094,26.283111572265625,-171.7653045654297
-84.445068359375,29.18096923828125,-172.05320739746094
-80.52493286132812,32.32820129394531,-172.10662841796875
-77.28970336914062,35.89949035644531,-172.20472717285156
-74.87040710449219,39.65516662597656,-172.25796508789062
-73.294189453125,43.56895446777344,-173.1495361328125
-72.45176696777344,47.65061950683594,-174.1080780029297
-72.18534851074219,51.90753173828125,-175.1491241455078
-72.55769348144531,56.35658264160156,-176.04917907714844
-73.60530090332031,60.98707580566406,-176.70867919921875
-74.97471618652344,65.44195556640625,-177.58998107910156
-76.95907592773438,69.74848937988281,-178.1477508544922
-79.73402404785156,73.68283081054688,-178.9166259765625
-83.530517578125,77.62774658203125,-179.74143981933594
-88.20455932617188,81.15513610839844,-180.12709045410156
-93.99916076660156,84.1331787109375,-180.48382568359375
-100.16316223144531,86.81538391113281,-180.13699340820312
-106.58662414550781,89.31103515625,-179.05181884765625
-112.73960876464844,91.37422180175781,-176.9991912841797
-118.42230224609375,92.86274719238281,-174.4397430419922
-123.69540405273438,93.76084899902344,-171.49880981445312
-128.6522216796875,93.97537231445312,-168.6884002685547
-133.033447265625,93.23548889160156,-166.26548767089844
-137.34494018554688,91.57412719726562,-164.1731719970703
-140.99708557128906,89.23954772949219,-163.0716552734375
-144.00845336914062,86.23414611816406,-162.47372436523438
-146.59738159179688,82.89312744140625,-162.4376678466797
-148.57337951660156,79.39414978027344,-162.8739776611328
-149.8011474609375,75.72798156738281,-164.0608367919922
-150.59405517578125,71.77230834960938,-165.10606384277344
-150.97984313964844,67.58155822753906,-166.22836303710938
-151.20217895507812,63.48187255859375,-167.44400024414062
-150.947021484375,58.997650146484375,-168.11529541015625
-150.17578125,53.8206787109375,-168.54013061523438
-149.24468994140625,48.25225830078125,-168.74578857421875
-147.7333984375,42.24848937988281,-168.0335693359375
-145.81529235839844,35.75196838378906,-166.3901824951172
-142.91921997070312,29.205596923828125,-164.29226684570312
-139.03541564941406,22.9249267578125,-161.67547607421875
-134.2980499267578,17.470611572265625,-158.53570556640625
-129.11453247070312,12.613479614257812,-154.924560546875
-123.48402404785156,8.9488525390625,-151.12066650390625
-118.02180480957031,6.4503326416015625,-147.6685791015625
-112.72251892089844,4.96441650390625,-144.50067138671875
-107.59461975097656,4.2979583740234375,-141.4630126953125
-103.05058288574219,4.1021575927734375,-138.30886840820312
-98.5531005859375,4.5506591796875,-135.0489959716797
-94.69557189941406,5.282806396484375,-131.39630126953125
-91.2557373046875,6.6784820556640625,-127.23367309570312
-88.24951171875,8.485504150390625,-122.70585632324219
-85.4132080078125,10.877288818359375,-118.1885986328125
-83.21684265136719,13.869415283203125,-113.48500061035156
-81.05564880371094,17.7794189453125,-108.88211059570312
-79.21646118164062,22.3380126953125,-104.42031860351562
-77.5977783203125,27.452056884765625,-100.50775146484375
-76.30282592773438,33.074005126953125,-96.98664855957031
-75.79779052734375,39.314453125,-93.69491577148438
-75.88362121582031,45.880859375,-91.07676696777344
-76.76551818847656,52.92665100097656,-89.38699340820312
-78.77421569824219,60.04316711425781,-88.009521484375
-81.4478759765625,66.82382202148438,-87.38302612304688
-84.85639953613281,73.22564697265625,-87.18293762207031
-88.79449462890625,79.11680603027344,-87.76596069335938
-93.3758544921875,84.52513122558594,-89.06553649902344
-97.63461303710938,89.79287719726562,-91.52899169921875
-101.39535522460938,94.488525390625,-94.94174194335938
-104.29167175292969,99.0821533203125,-99.54740905761719
-106.49798583984375,102.935791015625,-104.87544250488281
-108.44064331054688,106.204345703125,-110.50465393066406
-110.00419616699219,108.43049621582031,-116.49374389648438
-111.88958740234375,109.97163391113281,-122.32000732421875
-113.94068908691406,110.64599609375,-128.3285675048828
-116.64460754394531,110.44596862792969,-133.90966796875
-119.42709350585938,109.47361755371094,-139.1715545654297
-122.2857666015625,107.97772216796875,-144.3990478515625
-124.9998779296875,105.68331909179688,-149.25608825683594
-127.47201538085938,102.98001098632812,-153.66366577148438
-130.0813446044922,99.48504638671875,-157.5913848876953
-132.59410095214844,95.46299743652344,-160.98458862304688
-135.0713653564453,91.14076232910156,-163.4702606201172
-137.5084228515625,86.41497802734375,-165.4828643798828
-140.12741088867188,81.40382385253906,-166.379638671875
-142.690673828125,75.88775634765625,-166.60540771484375
-144.7471160888672,70.26652526855469,-166.3062286376953
-146.00645446777344,64.25700378417969,-165.8282928466797
