X,Y,Z
-128.3396453857422,-7.2851104736328125,-147.55908203125
-128.033203125,-7.738983154296875,-147.61863708496094
-127.989501953125,-8.041946411132812,-147.53155517578125
-127.98944091796875,-8.189682006835938,-147.65467834472656
-127.84440612792969,-8.110137939453125,-147.6419677734375
-127.5838623046875,-7.458709716796875,-147.96351623535156
-127.4532470703125,-6.6658935546875,-148.3840789794922
-127.15803527832031,-5.4733428955078125,-148.99954223632812
-126.73973083496094,-4.5189666748046875,-149.7232208251953
-126.45330810546875,-3.3832855224609375,-150.18673706054688
-126.22052001953125,-2.3709564208984375,-150.4003143310547
-126.14207458496094,-1.9438323974609375,-150.82508850097656
-126.11903381347656,-1.8088226318359375,-150.7383575439453
-125.99624633789062,-1.60687255859375,-150.9950408935547
-125.6451416015625,-1.6432952880859375,-151.05384826660156
-125.56016540527344,-1.745147705078125,-151.11622619628906
-125.60298156738281,-2.1217803955078125,-151.0804443359375
-125.88467407226562,-2.71173095703125,-150.79750061035156
-126.551513671875,-3.5830230712890625,-150.08010864257812
-127.45401000976562,-4.5333251953125,-149.01905822753906
-128.7904815673828,-5.5666351318359375,-147.8057403564453
-130.2570037841797,-6.844268798828125,-146.22389221191406
-131.8694610595703,-8.049331665039062,-144.37515258789062
-133.4861297607422,-8.668563842773438,-142.8799591064453
-134.80487060546875,-9.0018310546875,-141.50762939453125
-135.49600219726562,-8.976028442382812,-140.99722290039062
-135.8995361328125,-8.868789672851562,-140.61602783203125
-136.29794311523438,-8.713577270507812,-140.65982055664062
-136.04244995117188,-8.416717529296875,-140.8276824951172
-135.43746948242188,-8.376144409179688,-141.73207092285156
-134.29037475585938,-7.97515869140625,-142.98001098632812
-132.87347412109375,-7.3477020263671875,-144.45570373535156
-132.0415496826172,-6.6170196533203125,-145.7030029296875
-131.7766571044922,-5.326690673828125,-146.65956115722656
-131.7173309326172,-3.9001617431640625,-146.93458557128906
-132.22866821289062,-2.1577606201171875,-147.3666229248047
-133.02261352539062,-0.261810302734375,-147.47039794921875
-133.5620574951172,1.894989013671875,-147.51828002929688
-134.32745361328125,4.2957611083984375,-147.2264404296875
-135.2548370361328,6.45867919921875,-146.78933715820312
-136.5143280029297,8.848403930664062,-145.62815856933594
-137.87295532226562,11.431198120117188,-144.189453125
-139.49122619628906,13.583541870117188,-142.12457275390625
-140.87030029296875,15.483917236328125,-139.69615173339844
-142.37098693847656,17.246871948242188,-137.1509552001953
-143.7290496826172,18.335708618164062,-134.18275451660156
-144.9451904296875,19.302597045898438,-131.27088928222656
-146.16189575195312,19.4315185546875,-128.37217712402344
-147.18638610839844,18.308502197265625,-125.89593505859375
-148.1099090576172,16.2462158203125,-123.77891540527344
-148.86972045898438,13.297317504882812,-121.87232971191406
-149.34762573242188,9.193771362304688,-119.87612915039062
-149.2293701171875,4.2433624267578125,-118.27534484863281
-148.36973571777344,-1.15399169921875,-117.36842346191406
-147.1134033203125,-6.3861541748046875,-116.470703125
-144.9479522705078,-11.811264038085938,-116.29130554199219
-141.68177795410156,-17.128341674804688,-116.65135192871094
-137.56715393066406,-22.11920166015625,-117.28489685058594
-132.49635314941406,-26.821380615234375,-117.88740539550781
-126.58413696289062,-31.177047729492188,-118.29415893554688
-120.18936157226562,-34.83241271972656,-118.06501770019531
-113.10150146484375,-37.92823791503906,-117.47984313964844
-105.74246215820312,-39.873321533203125,-116.31072998046875
-98.04225158691406,-40.70513916015625,-114.81065368652344
-90.78628540039062,-40.47123718261719,-113.37791442871094
-83.95314025878906,-39.34193420410156,-111.83439636230469
-77.81817626953125,-37.75444030761719,-110.60877990722656
-72.648681640625,-35.45185852050781,-109.54605102539062
-68.29579162597656,-33.20130920410156,-109.0001220703125
-65.12699890136719,-31.095428466796875,-107.69891357421875
-62.33729553222656,-29.055938720703125,-106.16082763671875
-60.20274353027344,-27.259307861328125,-104.24998474121094
-58.69500732421875,-25.897171020507812,-101.67918395996094
-57.770965576171875,-24.690872192382812,-98.80599975585938
-57.09161376953125,-23.756118774414062,-95.38679504394531
-56.73020935058594,-22.715728759765625,-91.5235595703125
-56.78617858886719,-21.304183959960938,-86.93722534179688
-57.41932678222656,-19.902542114257812,-82.06419372558594
-58.32502746582031,-17.870941162109375,-77.00050354003906
-60.03033447265625,-15.459228515625,-71.98721313476562
-61.946319580078125,-12.754974365234375,-67.30024719238281
-64.20379638671875,-9.426803588867188,-62.61320495605469
-66.86897277832031,-5.8968963623046875,-58.400665283203125
-70.13945007324219,-1.72662353515625,-54.5867919921875
-73.50352478027344,2.7826385498046875,-51.63069152832031
-76.83009338378906,7.7396240234375,-49.305572509765625
-80.22805786132812,13.144699096679688,-48.00242614746094
-83.86955261230469,18.798843383789062,-47.40226745605469
-87.8314208984375,24.36724853515625,-47.36921691894531
-91.89363098144531,30.122787475585938,-48.13059997558594
-95.67851257324219,35.50450134277344,-50.141143798828125
-98.96475219726562,40.99836730957031,-53.076934814453125
-102.1136474609375,46.15306091308594,-56.77705383300781
-104.85757446289062,50.687835693359375,-61.430084228515625
-107.54541015625,54.689666748046875,-66.16313171386719
-109.91038513183594,57.55653381347656,-71.13414001464844
-111.99412536621094,60.07209777832031,-76.69371032714844
-113.63290405273438,62.21144104003906,-82.7755126953125
-114.93058776855469,63.6175537109375,-89.7044677734375
-116.07331848144531,64.24971008300781,-96.43589782714844
-116.85972595214844,64.05326843261719,-103.18394470214844
-117.98663330078125,63.02287292480469,-109.21392822265625
-119.32843017578125,61.293853759765625,-114.43324279785156
-121.28115844726562,58.73991394042969,-118.87263488769531
-123.67501831054688,55.581298828125,-122.32942199707031
-126.55462646484375,52.249542236328125,-125.37124633789062
-129.73377990722656,48.19905090332031,-127.87818908691406
-132.69981384277344,43.40876770019531,-129.8488311767578
-135.10499572753906,38.16032409667969,-131.7268524169922
-137.39321899414062,32.831756591796875,-133.34222412109375
-138.8095703125,27.569503784179688,-134.5745086669922
-139.68357849121094,22.326950073242188,-135.7274169921875
-140.04164123535156,17.175079345703125,-136.45632934570312
-140.1541290283203,12.459320068359375,-137.03005981445312
-140.0869140625,7.6491851806640625,-137.1632537841797
-139.49551391601562,2.9074249267578125,-136.8147430419922
-138.83985900878906,-1.6495208740234375,-136.3231658935547
-137.66445922851562,-6.104339599609375,-135.79673767089844
-135.8033447265625,-10.402557373046875,-135.52870178222656
-133.7067413330078,-14.235244750976562,-135.47145080566406
-130.8048553466797,-17.884796142578125,-135.83233642578125
-127.67842102050781,-20.723434448242188,-136.32745361328125
-123.95530700683594,-23.18414306640625,-137.4568634033203
-119.998291015625,-25.1107177734375,-138.4060821533203
-115.69522094726562,-26.500259399414062,-139.878173828125
-111.61412048339844,-26.905929565429688,-141.54904174804688
-107.53202819824219,-26.808685302734375,-142.9564666748047
-103.95640563964844,-26.359725952148438,-144.22300720214844
-100.59568786621094,-25.354446411132812,-145.9696807861328
-97.62910461425781,-23.712554931640625,-147.7919464111328
-95.40699768066406,-20.891738891601562,-150.00030517578125
-93.97164916992188,-17.224929809570312,-152.73045349121094
-93.34904479980469,-12.5526123046875,-155.2635040283203
-93.66201782226562,-7.2615966796875,-157.3151092529297
-94.82473754882812,-1.582550048828125,-159.309814453125
-96.85372924804688,3.8409881591796875,-160.4370880126953
-99.86642456054688,8.898117065429688,-160.71646118164062
-103.54757690429688,13.241439819335938,-160.3050994873047
-107.81828308105469,17.022705078125,-159.2395782470703
-112.42973327636719,19.949905395507812,-157.3726806640625
-117.10842895507812,21.794876098632812,-154.99021911621094
-121.47238159179688,22.433212280273438,-152.26820373535156
-125.34260559082031,22.1104736328125,-149.63621520996094
-128.6438751220703,20.704391479492188,-147.14437866210938
-130.82220458984375,18.42596435546875,-145.7632598876953
-132.02728271484375,15.795425415039062,-144.7625274658203
-132.01345825195312,12.668716430664062,-144.931396484375
-130.89453125,9.445327758789062,-145.38609313964844
-129.403076171875,6.420257568359375,-146.3320770263672
-127.38008117675781,3.3757781982421875,-147.05322265625
-124.8345947265625,0.612274169921875,-147.60519409179688
-121.86784362792969,-1.6875152587890625,-148.3640899658203
-118.48057556152344,-4.2914581298828125,-149.0249786376953
-114.35716247558594,-6.93182373046875,-149.2968292236328
-109.50563049316406,-9.620285034179688,-149.32550048828125
-104.33511352539062,-12.416473388671875,-148.99508666992188
-98.586669921875,-14.8372802734375,-148.05433654785156
-92.76312255859375,-17.240982055664062,-146.33526611328125
-86.75820922851562,-18.86029052734375,-144.00733947753906
-80.96987915039062,-19.914566040039062,-141.00601196289062
-75.32139587402344,-20.10040283203125,-137.8322296142578
-70.4619140625,-19.973037719726562,-134.66087341308594
-66.3167724609375,-19.530181884765625,-131.11631774902344
-63.03887939453125,-19.087783813476562,-127.672607421875
-60.45976257324219,-18.90216064453125,-124.24272155761719
-58.23439025878906,-18.642120361328125,-120.7369384765625
-56.753387451171875,-18.349853515625,-116.95631408691406
-55.14508056640625,-18.422439575195312,-113.0213623046875
-54.155029296875,-18.48541259765625,-108.94158935546875
-53.47709655761719,-18.613632202148438,-104.42597961425781
-52.95896911621094,-18.577560424804688,-100.00555419921875
-52.6312255859375,-18.111083984375,-95.34895324707031
-52.61970520019531,-17.249755859375,-90.55764770507812
-53.018768310546875,-15.996368408203125,-85.31826782226562
-54.18400573730469,-14.212081909179688,-79.6981201171875
-55.9678955078125,-11.722030639648438,-73.85966491699219
-58.48716735839844,-8.287796020507812,-67.94895935058594
-61.30180358886719,-4.164276123046875,-62.455078125
-64.85713195800781,0.3639678955078125,-57.985382080078125
-68.57008361816406,5.8101654052734375,-54.25767517089844
-72.19306945800781,11.7137451171875,-51.43495178222656
-75.74433898925781,17.689971923828125,-49.94624328613281
-79.15846252441406,23.78240966796875,-49.505157470703125
-82.40988159179688,29.767547607421875,-50.102691650390625
-85.46646118164062,35.53807067871094,-51.728271484375
-88.26222229003906,41.2222900390625,-54.31779479980469
-90.36811828613281,46.39659118652344,-57.94017028808594
-92.54071044921875,51.34605407714844,-62.02470397949219
-94.49006652832031,55.625091552734375,-66.65399169921875
-96.05799865722656,59.31536865234375,-71.94874572753906
-97.62504577636719,62.16902160644531,-77.18766784667969
-98.99485778808594,64.45236206054688,-83.0408935546875
-100.21733093261719,66.01885986328125,-88.85169982910156
-101.14747619628906,66.67535400390625,-94.79855346679688
-102.33584594726562,66.89482116699219,-100.52442932128906
-103.92460632324219,66.62092590332031,-106.07951354980469
-105.9742431640625,65.36672973632812,-111.44210815429688
-108.75125122070312,63.63848876953125,-116.02378845214844
-111.97409057617188,61.467926025390625,-119.94796752929688
