"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.607916551E-3,3.257300705E-5,-3.455006517E-4,-9.066804778E-4
1.160591678E-2,-3.264257684E-4,2.177578863E-4,-1.709331991E-4
2.160391677E-2,6.424323656E-4,9.221640648E-4,5.105697783E-4
3.160191677E-2,-1.150912140E-3,-1.293853391E-3,1.317435293E-3
4.159991676E-2,7.556451019E-4,8.435995551E-4,2.492413623E-4
5.159691675E-2,-3.497325815E-4,-1.238400582E-4,1.563503407E-3
6.159491674E-2,1.722471789E-4,-1.448762603E-3,-1.353190513E-3
7.159291673E-2,1.018373296E-3,5.057384260E-5,-1.614861307E-3
8.159091673E-2,1.592375338E-4,-5.632848479E-4,-1.064385870E-3
9.158891672E-2,-2.562836744E-4,1.172884018E-3,-8.409093134E-4
1.015871668E-1,-3.399066627E-4,2.626155037E-4,-8.414420299E-4
1.115851668E-1,1.758504426E-3,-6.947948132E-4,-7.838141173E-4
1.215831668E-1,4.229289480E-4,-1.252993476E-3,1.801848994E-3
1.315811668E-1,7.947552949E-4,-9.829450864E-4,6.587769603E-4
1.415791668E-1,3.619915806E-4,-4.753465764E-4,4.097713390E-4
1.515761667E-1,1.442373265E-3,-2.829001751E-4,-1.762531116E-3
1.615741667E-1,-6.178021431E-5,4.017984029E-4,-4.104442196E-4
1.715721667E-1,-9.057032876E-4,2.768239938E-5,-1.728360541E-3
1.815701667E-1,-1.824227627E-3,1.477908809E-4,-2.291885670E-3
1.915681667E-1,-3.531351686E-4,-4.755675327E-4,-1.169294002E-3
2.015661667E-1,1.065293327E-5,2.570680808E-4,-1.695002080E-3
2.115641667E-1,-1.558931544E-4,-8.020347450E-4,-7.327203639E-4
2.215621667E-1,-3.516352735E-4,1.481811050E-4,2.220229944E-4
2.315601667E-1,-5.834326148E-4,-1.420627814E-4,1.752299373E-3
2.415581667E-1,6.144575309E-4,6.483634934E-4,7.706582546E-4
2.515551667E-1,-1.637259498E-3,-1.153341727E-3,4.251205828E-4
2.615531667E-1,2.218931913E-4,-5.448092707E-4,4.887700779E-4
2.715511667E-1,1.889895648E-4,6.748551968E-4,1.195660559E-3
2.815491667E-1,-1.256308053E-3,-3.807293251E-5,6.792735076E-4
2.915471666E-1,-2.696379088E-4,-7.358798757E-5,1.838452299E-3
3.015451666E-1,-7.466101088E-4,-2.046155278E-4,8.488215972E-4
3.115431666E-1,-4.835710861E-4,-1.918870956E-3,-3.307756269E-4
3.215411666E-1,9.052671958E-4,-1.634445507E-3,-8.950993652E-4
3.315391666E-1,-1.660596114E-3,-2.872457262E-4,-2.112847287E-4
3.415371666E-1,1.790061593E-3,5.433941260E-4,-2.379163634E-4
