"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.956125023E-3,6.468081847E-5,-3.854904789E-4,-1.164264511E-3
1.195312501E-2,-2.777101472E-4,8.593786042E-4,-2.039540559E-4
2.195012500E-2,-5.533592775E-5,6.982573541E-4,5.318772746E-4
3.194712498E-2,-2.736016177E-4,6.430207286E-4,1.665352727E-3
4.194412497E-2,-3.098207526E-4,-7.191861514E-4,2.379612532E-3
5.194112507E-2,2.559553832E-4,-1.276086550E-4,4.209283739E-3
6.193812506E-2,2.524931915E-4,-9.884661995E-5,2.782894531E-3
7.193512504E-2,6.504533812E-4,6.771506742E-5,9.559856262E-4
8.193212503E-2,1.449135365E-3,8.187263738E-4,1.764784101E-4
9.192912502E-2,-7.175449282E-4,1.579797245E-3,3.659119830E-5
1.019261250E-1,1.535704359E-5,1.510821283E-3,-2.963725943E-3
1.119231250E-1,-9.452365339E-5,-2.810363658E-4,1.802929910E-4
1.219201250E-1,-1.168842893E-3,1.528847846E-3,4.051996395E-3
1.319171250E-1,1.648615347E-3,1.952067018E-3,7.330968510E-4
1.419141251E-1,1.849466935E-5,-2.559598070E-4,-2.004899085E-3
1.519111251E-1,4.866882227E-4,-3.245656844E-4,-5.534995813E-3
1.619081250E-1,1.088029705E-3,-8.968790062E-4,-5.345911719E-3
1.719051250E-1,2.289023250E-4,-1.162435161E-3,-4.981365055E-3
1.819021250E-1,-3.420794383E-4,-1.483878586E-3,-1.326975063E-3
1.918991250E-1,7.170662284E-4,-2.084811684E-3,7.218100363E-4
2.018961250E-1,6.962937769E-4,7.115073968E-4,2.827837830E-3
2.118931250E-1,6.499448791E-4,1.466413960E-4,4.017009400E-3
2.218901250E-1,1.074587926E-4,-4.935823381E-4,3.432977945E-3
2.318871251E-1,1.948534278E-3,-1.089998987E-4,1.500833896E-3
2.418841250E-1,2.205795608E-3,1.015120302E-3,-3.107766621E-3
2.518811250E-1,1.162344124E-3,-8.612580132E-4,-5.984321702E-3
2.618781250E-1,8.030189201E-5,1.438647974E-3,-6.896721199E-3
2.718751250E-1,-9.500593878E-4,-3.553600982E-4,-5.413395353E-3
2.818721250E-1,1.165363938E-4,6.329389289E-4,-1.321981195E-3
2.918691250E-1,-1.295949332E-4,7.011136040E-5,2.976210788E-3
3.018661250E-1,2.168822102E-4,1.525017433E-5,6.121936720E-3
3.118631251E-1,1.114481129E-4,9.851107607E-4,5.749196745E-3
3.218601251E-1,-1.367671415E-3,-3.725688439E-4,4.339851905E-3
3.318561250E-1,6.560976617E-4,6.458184216E-4,-1.265407773E-4
3.418527500E-1,1.042788615E-3,4.900386557E-5,-2.824322786E-3
3.518497500E-1,2.411808819E-4,-1.201815438E-3,-5.043429788E-3
3.618457500E-1,1.336272806E-3,4.187182058E-4,-5.610683002E-3
3.718427500E-1,9.437189437E-4,2.183928154E-4,-1.424726448E-3
3.818397500E-1,-6.864019670E-4,7.390407845E-4,5.859602243E-4
3.918377500E-1,-4.168772139E-4,7.803629851E-4,2.782053314E-3
4.018337500E-1,5.895311479E-4,1.686348114E-4,5.422577262E-3
4.118307501E-1,-9.474367835E-4,-2.829134464E-4,3.468251787E-3
4.218277500E-1,7.287566550E-4,8.278910536E-4,1.355566201E-3
4.318247500E-1,2.672364935E-4,-3.526997752E-4,-2.837955486E-3
4.418217500E-1,-3.295778297E-4,1.521633123E-3,-5.169819109E-3
4.518187500E-1,4.858840257E-4,3.935678396E-4,-6.358815357E-3
4.618157500E-1,5.852198228E-4,-5.590447690E-4,-4.233346321E-3
4.718127500E-1,7.932370063E-4,3.760014661E-4,-8.103904547E-4
4.818097500E-1,-1.216384582E-3,1.147454605E-4,2.884479240E-3
4.918067501E-1,8.059744723E-4,-6.375673693E-4,4.569627345E-3
5.018037501E-1,1.401190879E-3,-5.779718049E-5,5.686290562E-3
5.118007500E-1,-5.514416844E-4,-2.579982392E-4,2.397924662E-3
5.217977500E-1,3.809309565E-4,-9.640022181E-4,-2.551162615E-4
5.317947500E-1,4.647430032E-4,3.572932910E-4,-3.703099675E-3
5.417917500E-1,4.522260278E-4,5.980429705E-4,-4.865303170E-3
5.517887500E-1,3.022458404E-4,7.011955604E-4,-4.497994669E-3
5.617857500E-1,-2.564853057E-4,6.852166262E-4,-1.516586170E-3
5.717827500E-1,1.135412604E-4,1.333134482E-3,2.210807521E-3
5.817797501E-1,3.835861571E-4,9.403182194E-4,2.934121992E-3
5.917767501E-1,7.507342380E-4,-8.866167627E-5,3.907948267E-3
6.017737500E-1,1.016517868E-3,-2.591041848E-4,1.421088469E-3
6.117707500E-1,1.563883619E-3,-1.105581177E-3,1.361949951E-3
6.217677500E-1,-3.147101961E-4,2.188088838E-4,-2.517743036E-3
6.317647500E-1,-5.629886873E-4,-1.372294500E-4,-5.388833582E-3
6.417617500E-1,8.010824677E-4,4.262954462E-4,-3.741135821E-3
6.517587500E-1,4.684505984E-4,-1.025220845E-4,-9.564294014E-4
6.617557501E-1,1.096423715E-3,-6.095878780E-4,1.368243946E-3
6.717527501E-1,9.279698133E-6,1.276745461E-4,3.200024366E-3
6.817497500E-1,1.230871538E-3,-8.430476300E-4,6.077569909E-3
6.917467500E-1,4.553655162E-5,7.604580605E-4,4.717699252E-3
