"Time (s)","X (µT)","Y (µT)","Z (µT)"
3.573624883E-3,-5.035278320E0,3.493062592E1,4.177835083E1
1.357162488E-2,-4.913879395E0,3.492664719E1,4.194294739E1
2.356862486E-2,-5.007537842E0,3.503957748E1,4.178001404E1
3.356662486E-2,-5.189819336E0,3.516901016E1,4.147718811E1
4.356362484E-2,-5.123016357E0,3.518951797E1,4.161430359E1
5.356062483E-2,-5.060028076E0,3.518050003E1,4.170805359E1
6.355862506E-2,-5.115020752E0,3.513916779E1,4.177696228E1
7.355558337E-2,-5.293243408E0,3.514061356E1,4.192306519E1
8.355258335E-2,-5.242614746E0,3.506068420E1,4.187980652E1
9.355058335E-2,-5.186279297E0,3.496079254E1,4.186526489E1
1.035475833E-1,-5.215606689E0,3.507553482E1,4.191958618E1
1.135455833E-1,-5.196624756E0,3.518093872E1,4.186625671E1
1.235425833E-1,-5.258819580E0,3.517477036E1,4.188696289E1
1.335395833E-1,-5.147857666E0,3.507857132E1,4.191018677E1
1.435375833E-1,-5.076507568E0,3.507224655E1,4.178215027E1
1.535345833E-1,-5.131713867E0,3.502955627E1,4.188253784E1
1.635325833E-1,-5.191101074E0,3.512555313E1,4.195124817E1
1.735295833E-1,-5.202484131E0,3.512404251E1,4.170806885E1
1.835265832E-1,-5.194549561E0,3.506261444E1,4.179847717E1
1.935245832E-1,-5.199768066E0,3.503492737E1,4.184019470E1
2.035215832E-1,-5.110870361E0,3.504421616E1,4.180345154E1
2.135185832E-1,-5.179046631E0,3.518213272E1,4.169042969E1
2.235165832E-1,-5.137847900E0,3.512870789E1,4.163989258E1
2.335135832E-1,-5.062377930E0,3.509613419E1,4.166302490E1
2.435115832E-1,-4.994750977E0,3.503702164E1,4.157263184E1
2.535085832E-1,-5.072265625E0,3.506200409E1,4.183926392E1
2.635055832E-1,-5.059173584E0,3.503431702E1,4.190399170E1
2.735035834E-1,-5.031311035E0,3.514106369E1,4.181069946E1
2.835005834E-1,-5.034118652E0,3.508105087E1,4.176365662E1
2.934985834E-1,-5.184356689E0,3.514160538E1,4.205862427E1
3.034955834E-1,-5.205322266E0,3.523530579E1,4.183784485E1
3.134925833E-1,-5.188385010E0,3.512812042E1,4.187065125E1
3.234905833E-1,-5.268035889E0,3.518720245E1,4.193400574E1
3.334875833E-1,-5.197814941E0,3.512290192E1,4.182315063E1
3.434855833E-1,-5.154510498E0,3.525991440E1,4.149124146E1
3.534825833E-1,-5.163208008E0,3.512261581E1,4.176713562E1
3.634795833E-1,-5.161895752E0,3.505407715E1,4.171777344E1
3.734775833E-1,-5.219146729E0,3.514188385E1,4.175157166E1
3.834745833E-1,-5.166717529E0,3.526244736E1,4.166969299E1
3.934715833E-1,-5.150970459E0,3.516669464E1,4.165206909E1
4.034695833E-1,-5.194641113E0,3.517138290E1,4.178346252E1
4.134665832E-1,-5.131591797E0,3.509491730E1,4.190580750E1
4.234645832E-1,-5.237823486E0,3.526216507E1,4.201777649E1
4.334615832E-1,-5.141448975E0,3.508805084E1,4.196792603E1
4.434585832E-1,-5.066162109E0,3.514608383E1,4.174426270E1
4.534565832E-1,-5.119201660E0,3.523734283E1,4.175044250E1
4.634535832E-1,-5.061248779E0,3.515485764E1,4.162251282E1
4.734515832E-1,-5.023071289E0,3.499056244E1,4.181668091E1
4.834485832E-1,-5.023590088E0,3.491808701E1,4.189533997E1
4.934455834E-1,-5.226226807E0,3.509610748E1,4.194517517E1
5.034435834E-1,-4.921905518E0,3.498828506E1,4.173802185E1
5.134405834E-1,-5.043975830E0,3.498309708E1,4.177743530E1
5.234385834E-1,-4.990386963E0,3.490341949E1,4.181434631E1
5.334355833E-1,-5.054260254E0,3.487787247E1,4.179708862E1
5.434325833E-1,-4.983184814E0,3.487438583E1,4.190284729E1
5.534305833E-1,-5.000976562E0,3.488558960E1,4.162384033E1
5.634275833E-1,-5.009490967E0,3.497808075E1,4.164202881E1
5.734245833E-1,-5.050292969E0,3.509940720E1,4.167567444E1
5.834225833E-1,-5.199401855E0,3.517159653E1,4.187425232E1
5.934195833E-1,-5.180419922E0,3.507984924E1,4.181898499E1
6.034175833E-1,-5.283813477E0,3.513927841E1,4.187371826E1
6.134145833E-1,-5.136749268E0,3.515396500E1,4.165049744E1
6.234115832E-1,-5.029693604E0,3.500085449E1,4.156906128E1
6.334095832E-1,-5.090087891E0,3.507366562E1,4.176419067E1
6.434065832E-1,-5.129394531E0,3.509262848E1,4.196391296E1
6.534045832E-1,-5.158660889E0,3.502986526E1,4.180165100E1
6.634015832E-1,-4.959289551E0,3.485749817E1,4.177182007E1
6.733985832E-1,-5.000427246E0,3.481765366E1,4.185545349E1
6.833965832E-1,-4.920532227E0,3.479485321E1,4.171263123E1
6.933935832E-1,-4.996154785E0,3.486935043E1,4.155424500E1
7.033905832E-1,-4.963226318E0,3.496772766E1,4.151127625E1
7.133885834E-1,-5.155151367E0,3.498541260E1,4.182553101E1
7.233855834E-1,-5.176757812E0,3.494000244E1,4.186590576E1
7.333835834E-1,-4.960662842E0,3.489161301E1,4.179969788E1
7.433805834E-1,-5.109588623E0,3.495014572E1,4.171922302E1
7.533775833E-1,-5.098663330E0,3.497660828E1,4.195590210E1
7.633755833E-1,-4.987396240E0,3.501209641E1,4.203976440E1
7.733725833E-1,-5.088745117E0,3.502759933E1,4.173934937E1
7.833705833E-1,-5.126281738E0,3.485339355E1,4.203225708E1
7.933675833E-1,-4.969665527E0,3.494445419E1,4.156163025E1
8.033645833E-1,-5.096893311E0,3.499562073E1,4.182481384E1
8.133625833E-1,-5.015563965E0,3.489840317E1,4.174746704E1
8.233595833E-1,-5.071868896E0,3.495416641E1,4.174005127E1
8.333565833E-1,-5.023803711E0,3.502201843E1,4.188032532E1
8.433545833E-1,-4.969024658E0,3.493461227E1,4.193501282E1
