"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.146668267E-4,-3.652404785E-2,1.215472412E-1,-9.781110077E0
1.021166681E-2,-3.308120728E-2,1.166075134E-1,-9.762548676E0
2.020966681E-2,-1.586700439E-2,1.124162292E-1,-9.760303345E0
3.020666679E-2,-1.227447510E-2,1.013392639E-1,-9.780511322E0
4.020466679E-2,1.137634277E-2,9.744735718E-2,-9.744136963E0
5.020166677E-2,-2.993774414E-3,1.190025330E-1,-9.770033112E0
6.019966677E-2,-1.347198486E-3,1.240919495E-1,-9.750723267E0
7.019666675E-2,-1.601669312E-2,1.302291870E-1,-9.767338715E0
8.019466675E-2,-1.646575928E-2,1.597178650E-1,-9.752818909E0
9.019166674E-2,-3.757186890E-2,1.734892273E-1,-9.779463501E0
1.001896667E-1,-2.604583740E-2,1.585203552E-1,-9.768835602E0
1.101866667E-1,-2.320175171E-2,1.335223389E-1,-9.788145447E0
1.201846667E-1,-3.592529297E-2,1.020877075E-1,-9.767338715E0
1.301816667E-1,-8.098159790E-2,1.163081360E-1,-9.780810699E0
1.401796667E-1,-3.742218018E-2,5.987548828E-2,-9.735305328E0
1.501766667E-1,-5.987548828E-4,6.735992432E-3,-9.767189026E0
1.601746667E-1,2.724334717E-2,-2.754272461E-2,-9.754914551E0
1.701716667E-1,3.173400879E-2,-2.604583740E-2,-9.779613190E0
1.801695419E-1,-7.439529419E-2,5.598358154E-2,-9.763895874E0
1.901665418E-1,-1.853146362E-1,1.802252197E-1,-9.780511322E0
2.001645418E-1,-2.089654541E-1,2.583627319E-1,-9.758656769E0
2.101615418E-1,-1.558259583E-1,3.126997375E-1,-9.760752411E0
2.201595418E-1,-6.646179199E-2,3.106040955E-1,-9.781259766E0
2.301565418E-1,3.248245239E-2,2.621049500E-1,-9.753267975E0
2.401545418E-1,8.666976929E-2,1.844165039E-1,-9.759405212E0
2.501515418E-1,7.274871826E-2,9.280700684E-2,-9.764644318E0
2.601495418E-1,3.592529297E-2,2.245330811E-2,-9.748927002E0
2.701465418E-1,-1.736389160E-2,-2.499801636E-2,-9.756261749E0
2.801445418E-1,-5.822891235E-2,-3.966751099E-2,-9.774673462E0
2.901415417E-1,-8.592132568E-2,-6.137237549E-3,-9.764794006E0
3.001385417E-1,-6.885681152E-2,5.987548828E-2,-9.766141205E0
3.101365417E-1,-3.008743286E-2,1.029858398E-1,-9.763596497E0
3.201335417E-1,1.362167358E-2,1.778302002E-1,-9.773925018E0
3.301315417E-1,4.580474854E-2,2.282752991E-1,-9.761949921E0
3.401285417E-1,5.358856201E-2,2.502795410E-1,-9.765692139E0
3.501265417E-1,4.730163574E-2,2.511776733E-1,-9.753866730E0
3.601235417E-1,-2.095642090E-2,2.142045593E-1,-9.757159882E0
3.701215417E-1,-8.158035278E-2,1.628613281E-1,-9.772577820E0
3.801185417E-1,-1.414558411E-1,1.016386414E-1,-9.769584045E0
3.901165416E-1,-1.537303162E-1,3.547622681E-2,-9.778415680E0
4.001135419E-1,-1.380130005E-1,4.340972900E-3,-9.783056030E0
4.101115419E-1,-8.038284302E-2,-2.095642090E-3,-9.781858521E0
4.201085418E-1,-9.879455566E-3,1.362167358E-2,-9.747879181E0
4.301065418E-1,3.951782227E-2,6.646179199E-2,-9.765243073E0
4.401035418E-1,5.074447632E-2,1.252894592E-1,-9.760003967E0
4.501015418E-1,4.894821167E-2,2.002835083E-1,-9.761949921E0
4.600985418E-1,4.790039062E-3,2.538720703E-1,-9.768985291E0
4.700965418E-1,-4.056564331E-2,2.743794250E-1,-9.766440582E0
4.800935418E-1,-7.604187012E-2,2.472857666E-1,-9.783355408E0
4.900915418E-1,-8.008346558E-2,1.907034302E-1,-9.782157898E0
5.000885418E-1,-5.328918457E-2,1.173559570E-1,-9.766739960E0
5.100865418E-1,-3.038681030E-2,5.029541016E-2,-9.764794006E0
5.200835417E-1,-3.293151855E-3,4.490661621E-4,-9.765692139E0
5.300815417E-1,1.302291870E-2,-2.784210205E-2,-9.756261749E0
5.400785417E-1,-8.232879639E-3,-2.844085693E-3,-9.767189026E0
5.500765417E-1,-3.412902832E-2,4.954696655E-2,-9.781858521E0
5.600735417E-1,-6.960525513E-2,1.240919495E-1,-9.762548676E0
5.700715417E-1,-1.038839722E-1,1.913021851E-1,-9.753866730E0
5.800685417E-1,-8.936416626E-2,2.288740540E-1,-9.771979065E0
5.900665417E-1,-5.718109131E-2,2.418969727E-1,-9.758207703E0
6.000635417E-1,-2.395019531E-3,2.097138977E-1,-9.758507080E0
6.100605417E-1,2.619552612E-2,1.642085266E-1,-9.762997742E0
6.200585417E-1,4.715194702E-2,1.016386414E-1,-9.754166107E0
6.300555419E-1,5.194198608E-2,7.244934082E-2,-9.778864746E0
6.400535419E-1,1.796264648E-2,2.185455322E-2,-9.749974823E0
6.500505419E-1,-2.799179077E-2,3.203338623E-2,-9.761500854E0
6.600485418E-1,-7.723937988E-2,5.718109131E-2,-9.780810699E0
6.700455418E-1,-1.121168518E-1,8.232879639E-2,-9.760303345E0
6.800435418E-1,-9.041198730E-2,1.209484863E-1,-9.753567352E0
6.900405418E-1,-6.167175293E-2,1.437011719E-1,-9.780661011E0
7.000385418E-1,-3.876937866E-2,1.871109009E-1,-9.769733734E0
7.100355418E-1,5.837860107E-3,2.071691895E-1,-9.760003967E0
7.200335418E-1,2.245330811E-2,2.038760376E-1,-9.767039337E0
7.300305418E-1,1.751358032E-2,1.893562317E-1,-9.764644318E0
7.400285418E-1,-1.002914429E-2,1.657054138E-1,-9.758058014E0
7.500255418E-1,-4.999603271E-2,1.204994202E-1,-9.764644318E0
7.600235417E-1,-6.840774536E-2,7.589218140E-2,-9.755513306E0
7.700205417E-1,-6.316864014E-2,4.236190796E-2,-9.752369843E0
7.800185417E-1,-5.523513794E-2,1.437011719E-2,-9.770033112E0
7.900155417E-1,-1.586700439E-2,2.604583740E-2,-9.765841827E0
8.000135417E-1,1.437011719E-2,5.313949585E-2,-9.753567352E0
8.100105417E-1,8.681945801E-3,9.460327148E-2,-9.775721283E0
8.200085417E-1,6.436614990E-3,1.434017944E-1,-9.773326263E0
8.300055417E-1,-2.978805542E-2,2.049238586E-1,-9.771080933E0
8.400035417E-1,-6.795867920E-2,2.333647156E-1,-9.765991516E0
8.500005417E-1,-1.016386414E-1,2.393522644E-1,-9.784253540E0
8.599985417E-1,-1.052311707E-1,1.984872437E-1,-9.774673462E0
8.699955419E-1,-7.334747314E-2,1.522334290E-1,-9.762848053E0
8.799925419E-1,-3.113525391E-2,9.370513916E-2,-9.756710815E0
8.899905419E-1,9.580078125E-3,2.649490356E-2,-9.755363617E0
8.999875418E-1,2.709365845E-2,3.293151855E-3,-9.764943695E0
9.099855418E-1,2.963836670E-2,9.280700684E-3,-9.768985291E0
9.199825418E-1,1.496887207E-2,3.682342529E-2,-9.760453033E0
9.299805418E-1,-2.035766602E-2,9.535171509E-2,-9.762997742E0
9.399775418E-1,-5.553451538E-2,1.721420288E-1,-9.769883423E0
9.499755418E-1,-8.068222046E-2,2.243833923E-1,-9.769883423E0
9.599725418E-1,-6.900650024E-2,2.528242493E-1,-9.756261749E0
9.699705418E-1,-4.730163574E-2,2.357597351E-1,-9.776769104E0
9.799675418E-1,-3.607498169E-2,1.960922241E-1,-9.767787781E0
9.899655418E-1,-1.571731567E-2,1.348695374E-1,-9.769434357E0
9.999625417E-1,-1.796264648E-2,6.586303711E-2,-9.758207703E0
1.009960542E0,-1.287322998E-2,3.158432007E-2,-9.762848053E0
1.019957542E0,-4.969665527E-2,1.197509766E-3,-9.768536224E0
1.029955542E0,-8.038284302E-2,2.365081787E-2,-9.756710815E0
