X,Y,Z
-125.07098388671875,-24.935409545898438,-159.8993377685547
-125.24763488769531,-25.12982177734375,-159.93804931640625
-125.4993896484375,-25.053817749023438,-159.80262756347656
-125.67793273925781,-25.246871948242188,-160.01365661621094
-126.09063720703125,-25.26678466796875,-160.1151123046875
-126.57212829589844,-25.420028686523438,-160.5076446533203
-127.22067260742188,-25.420242309570312,-160.71417236328125
-127.54052734375,-25.75689697265625,-161.16464233398438
-128.3263702392578,-25.9725341796875,-161.4456024169922
-128.72271728515625,-26.15936279296875,-161.5042266845703
-129.3207550048828,-26.830413818359375,-161.5158233642578
-129.77548217773438,-27.894866943359375,-161.10304260253906
-130.3899688720703,-28.524276733398438,-160.8485870361328
-130.83396911621094,-29.22784423828125,-161.00631713867188
-131.50335693359375,-29.807968139648438,-160.97145080566406
-132.4137725830078,-30.576126098632812,-161.04824829101562
-133.30584716796875,-30.974899291992188,-161.13043212890625
-133.8286895751953,-31.386978149414062,-161.21693420410156
-134.1468963623047,-31.721694946289062,-161.25689697265625
-133.992919921875,-31.755905151367188,-161.06790161132812
-133.5738525390625,-31.945877075195312,-160.7295379638672
-133.00758361816406,-31.972091674804688,-160.3505096435547
-132.481689453125,-31.811370849609375,-160.03659057617188
-132.23599243164062,-31.3863525390625,-160.269287109375
-132.11410522460938,-30.880966186523438,-160.7101287841797
-131.9280548095703,-30.019927978515625,-161.40716552734375
-132.12498474121094,-29.011138916015625,-162.30555725097656
-132.529052734375,-28.322525024414062,-163.1504669189453
-133.36892700195312,-27.894546508789062,-164.0694122314453
-134.46766662597656,-27.44769287109375,-164.93637084960938
-135.3208770751953,-26.903366088867188,-165.7776336669922
-135.6977996826172,-25.906112670898438,-166.693603515625
-135.5646209716797,-24.769638061523438,-167.38229370117188
-135.1811981201172,-23.545425415039062,-168.3914794921875
-134.66744995117188,-22.11236572265625,-168.94839477539062
-134.25238037109375,-20.747756958007812,-169.49574279785156
-133.83309936523438,-19.106582641601562,-170.03761291503906
-133.9248809814453,-17.981338500976562,-170.89430236816406
-134.3142547607422,-16.467987060546875,-172.13111877441406
-135.29397583007812,-14.628219604492188,-173.5343475341797
-136.36021423339844,-12.413589477539062,-175.0184783935547
-137.3786163330078,-9.85858154296875,-176.20579528808594
-138.10374450683594,-6.881988525390625,-177.38316345214844
-138.3974609375,-3.3252410888671875,-178.26730346679688
-138.14027404785156,0.8251495361328125,-178.6978759765625
-137.4237060546875,5.6213836669921875,-178.71861267089844
-136.4939422607422,11.34619140625,-178.03997802734375
-135.51022338867188,17.021072387695312,-176.7318115234375
-134.56483459472656,22.76544189453125,-174.84011840820312
-133.88670349121094,28.596572875976562,-172.34898376464844
-133.8601531982422,33.92109680175781,-169.68524169921875
-134.37005615234375,38.933990478515625,-166.8418731689453
-135.52980041503906,43.23681640625,-163.84646606445312
-136.76373291015625,47.34539794921875,-160.7791290283203
-138.55068969726562,50.95323181152344,-157.76451110839844
-140.65402221679688,53.779205322265625,-154.90576171875
-143.7495574951172,56.50569152832031,-151.71475219726562
-147.3288116455078,58.812530517578125,-149.0675048828125
-151.51992797851562,60.60760498046875,-146.64434814453125
-156.3224334716797,61.98750305175781,-143.77468872070312
-161.47837829589844,62.600677490234375,-141.27883911132812
-166.9482879638672,62.874359130859375,-139.23648071289062
-172.65879821777344,62.14080810546875,-137.50656127929688
-178.4212188720703,60.56333923339844,-136.5910186767578
-183.9436492919922,57.92919921875,-136.6156463623047
-189.01502990722656,54.21391296386719,-137.8079071044922
-193.548828125,49.663055419921875,-140.1540985107422
-197.3201904296875,44.56944274902344,-143.3273162841797
-200.43370056152344,38.81651306152344,-146.8716583251953
-202.4954833984375,32.377349853515625,-150.3776397705078
-203.8495330810547,25.408294677734375,-153.8258819580078
-204.61590576171875,17.729049682617188,-156.5518035888672
-204.9706268310547,9.519851684570312,-158.244873046875
-204.60617065429688,1.302764892578125,-158.6952667236328
-203.7260284423828,-6.7596435546875,-158.22840881347656
-202.05630493164062,-14.196060180664062,-157.52037048339844
-200.16860961914062,-20.615676879882812,-155.88880920410156
-197.62893676757812,-26.389724731445312,-154.26385498046875
-194.97991943359375,-31.552764892578125,-152.29246520996094
-192.37655639648438,-36.18836975097656,-149.71914672851562
-189.79876708984375,-40.23439025878906,-146.63258361816406
-187.47418212890625,-43.65325927734375,-143.2068328857422
-185.3224639892578,-46.697296142578125,-138.9754638671875
-183.8955078125,-49.212310791015625,-134.08802795410156
-182.88087463378906,-50.958892822265625,-129.1568145751953
-182.0947723388672,-51.843658447265625,-124.26097106933594
-182.35552978515625,-52.031890869140625,-119.4705810546875
-183.04530334472656,-51.624908447265625,-115.25344848632812
-184.40362548828125,-50.75358581542969,-111.56671142578125
-186.40191650390625,-49.050872802734375,-108.14595031738281
-188.98626708984375,-46.87651062011719,-105.00872802734375
-192.2008056640625,-44.28163146972656,-102.03768920898438
-195.87478637695312,-40.7071533203125,-99.67532348632812
-199.4645538330078,-36.51593017578125,-97.32003784179688
-202.85452270507812,-31.452972412109375,-95.32530212402344
-206.0290069580078,-25.8345947265625,-93.3350830078125
-208.6232147216797,-19.319320678710938,-91.43513488769531
-210.8518829345703,-12.84320068359375,-90.78337097167969
-212.8306884765625,-6.4201202392578125,-90.54812622070312
-214.10020446777344,-0.4179840087890625,-90.99757385253906
-215.2379608154297,5.0522003173828125,-92.23239135742188
-215.84463500976562,9.208099365234375,-94.26063537597656
-216.6326904296875,12.851287841796875,-96.49990844726562
-217.43612670898438,15.765655517578125,-99.02914428710938
-217.98666381835938,18.320098876953125,-101.62962341308594
